229037, 1224, 2787, 2806, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230254, 1871, 2232, 2845, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230291, 2078, 2566, 2829, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230329, 1993, 2501, 2780, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230367, 1837, 2499, 2649, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230407, 2142, 2359, 2747, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230447, 2039, 2504, 2606, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230487, 2262, 2312, 2576, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230528, 2157, 2571, 2535, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230568, 2457, 2216, 2475, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230608, 2437, 2289, 2394, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230649, 2341, 2283, 2791, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230689, 2061, 2297, 2773, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230729, 2285, 2352, 2519, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230770, 2549, 2375, 2302, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230810, 2669, 2459, 2005, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230850, 2891, 2388, 1846, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230891, 2835, 2008, 2446, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230931, 2419, 2609, 2114, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
230972, 2657, 2369, 2179, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231012, 2626, 2486, 2105, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231052, 2594, 2472, 2081, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231093, 2584, 2458, 2022, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231133, 2616, 2490, 2031, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231174, 2586, 2607, 1958, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231212, 2609, 2546, 1937, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231251, 2636, 2576, 1931, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
231290, 2602, 2604, 1880, 94, 7b0bc527-a7fd-40b5-b677-2be876fbe6ef, , transisi, transisi_duduk_ke_sujud, , 
