179303, 1594, 2946, 2437, 90, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181064, 2992, 2532, 1255, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181099, 2902, 2734, 1198, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181134, 3054, 2576, 1135, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181168, 3019, 2605, 1105, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181203, 3088, 2554, 1119, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181238, 2997, 2527, 1168, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181273, 3106, 2522, 1136, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181307, 3107, 2561, 987, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181342, 3084, 2611, 929, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181377, 3246, 2407, 872, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181412, 3191, 2496, 804, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181447, 3330, 2293, 731, 91, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181489, 3242, 2494, 631, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181531, 3284, 2430, 585, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181573, 3295, 2473, 620, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181615, 3288, 2492, 539, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181657, 3342, 2380, 527, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181699, 3361, 2403, 466, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181741, 3316, 2430, 414, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
181783, 3335, 2402, 411, 92, dceb1d62-e7db-4a6b-86f5-d4ca2a965019, , transisi, transisi_duduk_ke_sujud, , 
