304811, 1793, 2881, 2396, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306248, 2780, 2675, 1949, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306287, 2635, 2456, 1720, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306327, 2772, 2518, 1709, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306367, 2842, 2662, 1696, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306407, 2899, 2363, 1416, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306447, 2933, 2516, 1426, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306484, 2885, 2724, 1492, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306522, 3042, 2442, 1401, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306559, 3045, 2306, 1378, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306597, 3047, 2311, 1342, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306634, 3169, 2402, 1434, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306672, 3003, 2425, 1288, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306709, 3164, 2445, 1292, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306747, 3156, 2364, 1307, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306784, 3148, 2354, 1238, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306822, 2996, 2072, 1106, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306859, 3243, 2411, 1264, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306897, 3282, 2330, 1234, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306935, 3305, 2287, 1264, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
306973, 3175, 2411, 1161, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307011, 3103, 2472, 1437, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307049, 3315, 2214, 1008, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307087, 3339, 2150, 766, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307125, 3606, 1988, 714, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307163, 3463, 2123, 553, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307201, 3422, 2317, 521, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307239, 3390, 2284, 538, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307277, 3375, 2389, 644, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307315, 3372, 2239, 622, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307353, 3416, 2237, 734, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307391, 3426, 2096, 682, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307430, 3498, 2274, 712, 96, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307468, 3429, 2177, 698, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307506, 3466, 2196, 651, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307544, 3455, 2130, 618, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307582, 3464, 2211, 643, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307620, 3447, 2149, 611, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307658, 3438, 2241, 636, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307697, 3445, 2164, 610, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307735, 3479, 2142, 616, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307773, 3465, 2235, 657, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307811, 3520, 2058, 615, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307849, 3406, 2347, 556, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307887, 3531, 2189, 535, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307926, 3459, 2148, 532, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
307966, 3541, 1999, 485, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308006, 3556, 2182, 533, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308046, 3496, 2116, 498, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308086, 3566, 2138, 558, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308126, 3485, 2048, 559, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308166, 3579, 2067, 547, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308206, 3498, 2131, 542, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308246, 3487, 2153, 518, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308286, 3494, 2183, 519, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
308326, 3526, 2156, 552, 97, b916d1f3-1866-4339-938e-4073e93b1b85, , transisi, transisi_duduk_ke_sujud, , 
