280714, 905, 2800, 2826, 84, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282165, 2488, 2585, 1955, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282204, 2557, 2624, 1947, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282244, 2578, 2637, 1895, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282284, 2580, 2659, 1865, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282324, 2543, 2713, 1813, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282364, 2597, 2716, 1790, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282400, 2564, 2782, 1729, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282437, 2600, 2761, 1668, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282474, 2654, 2685, 1642, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282510, 2673, 2762, 1602, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282547, 2708, 2710, 1533, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282584, 2749, 2715, 1523, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282621, 2755, 2686, 1474, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282657, 2731, 2725, 1466, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282694, 2786, 2725, 1475, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282731, 2823, 2695, 1420, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282768, 2768, 2736, 1392, 82, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282807, 2809, 2663, 1404, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282846, 2814, 2673, 1380, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282885, 2851, 2677, 1392, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282924, 2855, 2661, 1366, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
282963, 2856, 2672, 1340, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
283002, 2881, 2669, 1313, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
283041, 2881, 2727, 1293, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
283080, 2802, 2743, 1290, 80, 6841ac18-d95a-4fdf-9e29-0fd6cb858b44, , transisi, transisi_duduk_ke_sujud, , 
