236101, 2138, 2128, 2906, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237378, 3258, 2977, 2673, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237414, 1947, 2721, 2801, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237450, 2057, 2692, 2491, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237485, 1831, 2721, 2351, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237521, 1956, 2936, 2296, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237557, 1926, 2692, 2407, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237593, 1926, 2823, 2275, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237632, 1941, 3072, 2421, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237671, 1838, 2638, 2073, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237710, 1992, 2844, 2191, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237749, 2171, 2962, 2126, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237788, 2083, 2748, 2181, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237827, 2137, 3261, 2211, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237866, 2092, 2979, 2237, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237905, 2019, 2895, 2288, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237944, 2298, 2914, 2204, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
237983, 2466, 2503, 2271, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238023, 2573, 2331, 2392, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238057, 2581, 2295, 2345, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238092, 2507, 2333, 2298, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238126, 2534, 2375, 2273, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238161, 2545, 2440, 2220, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238196, 2638, 2341, 2298, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238230, 2649, 2242, 2277, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238265, 2619, 2285, 2206, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238299, 2715, 2216, 2243, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238334, 2626, 2295, 2235, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238369, 2614, 2268, 2290, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238409, 2559, 2284, 2326, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238449, 2599, 2179, 2386, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238489, 2630, 2217, 2361, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238530, 2617, 2183, 2342, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238570, 2607, 2218, 2363, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238610, 2575, 2205, 2409, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
238651, 2504, 2262, 2419, 85, 8d33fd03-e052-47bd-ac23-2eef84b8e521, , transisi, transisi_duduk_ke_sujud, , 
