67675, 672, 2279, 2998, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68379, 2632, 1727, 2673, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68413, 2380, 2079, 2845, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68448, 2522, 1651, 2835, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68482, 2655, 2024, 2799, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68516, 2332, 1857, 2790, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68551, 2469, 1550, 2907, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68585, 2466, 1818, 2812, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68620, 2466, 2087, 2728, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68664, 2550, 1913, 2663, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68709, 2482, 2101, 2467, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68754, 2664, 1999, 2504, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68799, 2809, 1679, 2591, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68844, 2820, 1936, 2332, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68888, 2998, 1680, 2349, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68933, 3000, 1827, 2239, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
68978, 3083, 1717, 2182, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69023, 3107, 1701, 2138, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69068, 3161, 1792, 2009, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69101, 3176, 1754, 2025, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69135, 3192, 1824, 1975, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69169, 3178, 1889, 1910, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69203, 3258, 1797, 1855, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69237, 3260, 1799, 1828, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69271, 3294, 1857, 1743, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69305, 3346, 1796, 1731, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69339, 3310, 1860, 1645, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
69373, 3344, 1852, 1612, 59, 21a9b2c7-55c8-4139-987b-acdfc8645151, , transisi, transisi_duduk_ke_sujud, , 
