426861, 2859, 1773, 2453, 79, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427479, 2855, 1766, 2504, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427514, 2850, 1886, 2529, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427548, 2614, 1877, 2559, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427582, 2752, 1748, 2645, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427617, 2575, 1747, 2586, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427657, 2522, 1523, 2488, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427697, 2669, 1442, 2763, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427737, 2749, 1461, 2550, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427777, 2749, 1363, 2694, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427818, 2666, 1293, 2843, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427858, 2646, 1297, 2866, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427898, 2795, 1281, 2750, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427938, 2349, 539, 2255, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
427978, 2424, 1157, 3016, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428019, 2515, 1343, 2850, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428058, 2556, 1476, 2573, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428098, 2079, 837, 2280, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428138, 1850, 176, 2025, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428178, 1999, 1125, 1945, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428218, 2458, 1096, 2352, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428258, 2860, 574, 2775, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428298, 3429, 1341, 2616, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428338, 3508, 284, 3354, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428378, 3918, 1670, 2568, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428418, 4478, 533, 2719, 76, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428454, 4132, 1596, 2291, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428490, 3549, 1321, 2091, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428526, 3413, 1843, 2496, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428562, 3275, 1380, 2068, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428598, 3836, 1530, 2163, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428634, 3861, 1270, 2390, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428670, 2871, 1079, 2876, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428706, 2570, 1769, 2797, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428742, 2785, 1307, 2940, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428778, 2838, 1313, 2861, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428815, 2820, 1539, 2918, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428856, 2827, 1423, 2854, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428898, 2873, 1239, 2865, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428940, 2698, 1870, 2802, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
428982, 3447, 276, 2798, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429024, 2605, 1939, 2606, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429066, 2878, 1324, 2745, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429108, 2731, 1297, 2447, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429150, 3085, 1636, 2788, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429192, 2919, 1350, 2589, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429234, 2958, 1509, 2654, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429269, 2958, 1427, 2388, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429305, 3019, 1427, 2636, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429340, 2934, 1628, 2474, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429376, 2981, 1460, 2391, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429411, 2936, 1676, 2445, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429447, 3051, 1411, 2395, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429482, 3064, 1512, 2377, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429518, 3030, 1595, 2413, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429553, 3083, 1399, 2375, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429589, 3015, 1639, 2368, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429625, 3158, 1352, 2391, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429664, 3010, 1605, 2283, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429703, 3143, 1349, 2328, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429742, 3148, 1415, 2283, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429782, 3240, 1332, 2298, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429821, 3222, 1438, 2228, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429860, 3207, 1418, 2153, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429900, 3236, 1392, 2198, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429939, 3260, 1440, 2075, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
429978, 3327, 1392, 2145, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430018, 3261, 1440, 2109, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430058, 3351, 1219, 2091, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430098, 3324, 1327, 1904, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430138, 3411, 1249, 1967, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430178, 3464, 1290, 1982, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430218, 3400, 1328, 1787, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430258, 3502, 1369, 1885, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430298, 3542, 1180, 1777, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430338, 3511, 1175, 1683, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430378, 3579, 1169, 1664, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430418, 3623, 1089, 1721, 75, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430454, 3668, 1192, 1610, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430490, 3686, 1025, 1575, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430526, 3677, 1099, 1552, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430562, 3722, 1044, 1487, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430598, 3747, 1039, 1503, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430634, 3647, 978, 1426, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430670, 3746, 1073, 1530, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
430706, 3721, 925, 1446, 74, 51394bfb-bf34-481b-a325-3e4b3f1f60fd, , transisi, transisi_duduk_ke_sujud, , 
