167193, 1965, 1911, 3116, 99, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168830, 2624, 2396, 2052, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168866, 2666, 2644, 1889, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168902, 2349, 2812, 1778, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168939, 2552, 2760, 1764, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
168975, 2546, 2723, 1709, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169011, 2550, 2802, 1687, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169047, 2539, 2833, 1663, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169083, 2632, 2772, 1597, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169120, 2582, 2794, 1581, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169160, 2724, 2729, 1541, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169200, 2732, 2731, 1509, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169241, 2756, 2677, 1463, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169281, 2732, 2727, 1457, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169322, 2716, 2754, 1426, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169362, 2726, 2767, 1427, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169402, 2756, 2783, 1391, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169443, 2708, 2794, 1327, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169483, 2693, 2872, 1322, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
169524, 2688, 2852, 1293, 98, 8e11b512-6e36-4143-a73d-93d409e6d04e, , transisi, transisi_duduk_ke_sujud, , 
