219747, 1104, 2016, 3464, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220610, 2666, 1760, 2241, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220645, 2695, 3209, 3692, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220680, 1812, 1313, 2725, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220716, 2388, 2015, 3242, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220751, 2202, 1667, 2924, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220786, 2592, 1704, 3096, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220822, 2446, 1683, 3014, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220857, 2442, 1714, 3025, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220893, 2400, 1823, 2837, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220934, 2494, 1624, 2967, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
220975, 2358, 1890, 2834, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221017, 2532, 1692, 2931, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221058, 2564, 1787, 2811, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221100, 2514, 1832, 2790, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221141, 2555, 1789, 2815, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221182, 2562, 1789, 2772, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221224, 2492, 1843, 2790, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221265, 2528, 1828, 2753, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221307, 2525, 1867, 2750, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221343, 2565, 1853, 2705, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221379, 2579, 1828, 2685, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221415, 2627, 1817, 2659, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221452, 2674, 1792, 2611, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221488, 2670, 1837, 2607, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221524, 2733, 1747, 2567, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221560, 2797, 1815, 2639, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221597, 2865, 1763, 2403, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221633, 2906, 1637, 2427, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221669, 2960, 1677, 2371, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221706, 3041, 1562, 2365, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221744, 3077, 1592, 2287, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221783, 3142, 1524, 2254, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221822, 3205, 1450, 2154, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221860, 3240, 1517, 2128, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221899, 3289, 1493, 2077, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221938, 3273, 1506, 2002, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
221976, 3336, 1487, 1933, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222015, 3360, 1507, 1905, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222054, 3430, 1477, 1860, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222093, 3457, 1504, 1833, 76, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222134, 3433, 1429, 1828, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222175, 3460, 1442, 1810, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222216, 3442, 1430, 1791, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222257, 3485, 1448, 1791, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222298, 3462, 1446, 1765, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222339, 3499, 1437, 1746, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222380, 3477, 1470, 1736, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222421, 3544, 1374, 1690, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222462, 3503, 1400, 1663, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222504, 3513, 1398, 1700, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222538, 3497, 1436, 1682, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222573, 3517, 1407, 1688, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222608, 3490, 1474, 1672, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222643, 3588, 1421, 1786, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222678, 3496, 1392, 1676, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222713, 3508, 1376, 1693, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222748, 3494, 1390, 1746, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222783, 3486, 1342, 1772, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222818, 3500, 1328, 1723, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222853, 3464, 1355, 1693, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222888, 3520, 1433, 1729, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222928, 3507, 1488, 1747, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
222969, 3471, 1531, 1689, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
223009, 3501, 1567, 1671, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
223050, 3474, 1693, 1602, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
223090, 3474, 1591, 1589, 75, 2ce905d6-65ac-418c-8245-a4974459871c, , transisi, transisi_duduk_ke_sujud, , 
