262144, 2760, 1930, 2408, 76, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264555, 3180, 1311, 2276, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264596, 3186, 1327, 2250, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264637, 3259, 1265, 2292, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264677, 3232, 1348, 2125, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264718, 3230, 1404, 2248, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264758, 3173, 1645, 2166, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264799, 3293, 1420, 2145, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264840, 3306, 1478, 2090, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264882, 3348, 1316, 1997, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264924, 3390, 1260, 2094, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
264966, 3366, 1328, 2021, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265009, 3378, 1225, 2045, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265051, 3417, 1289, 1995, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265093, 3391, 1273, 2038, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265136, 3427, 1256, 1979, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265178, 3434, 1219, 1927, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265220, 3450, 1363, 1969, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265263, 3509, 1214, 2020, 74, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265296, 3480, 1157, 1940, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265330, 3594, 1236, 1739, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265364, 3372, 1695, 1528, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265398, 3570, 1314, 1764, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265432, 3586, 1084, 1762, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265466, 3545, 1218, 1716, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265500, 3526, 1229, 1789, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265534, 3509, 1185, 1721, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265568, 3554, 1176, 1791, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265602, 3570, 1189, 1788, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265636, 3572, 1150, 1717, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265680, 3564, 1166, 1785, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265725, 3597, 1115, 1792, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265770, 3544, 1249, 1762, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
265815, 3555, 1172, 1727, 72, 85e5be6c-a464-444d-b14d-cb1276af5e5f, , transisi, transisi_duduk_ke_sujud, , 
