260001, 2424, 2484, 2147, 99, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261378, 2566, 1987, 2978, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261417, 2449, 1901, 2805, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261455, 2333, 2125, 2753, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261494, 2515, 1856, 2733, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261532, 2356, 1884, 2774, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261571, 2367, 2191, 2743, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261610, 2550, 1887, 2685, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261645, 2658, 1792, 2761, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261680, 2479, 1592, 2889, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261716, 2644, 1350, 2829, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261751, 2687, 1407, 2829, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261787, 2683, 1404, 2825, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261822, 2714, 1313, 2866, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261858, 2722, 1382, 2814, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261893, 2671, 1475, 2820, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261929, 2733, 1380, 2799, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
261964, 2755, 1402, 2803, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
262000, 2694, 1407, 2791, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
262044, 2812, 1288, 2780, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
262089, 2800, 1324, 2798, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
262134, 2798, 1319, 2809, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
262179, 2864, 1237, 2821, 98, 608b5afe-6a72-4886-ab8d-57d1873de95d, , transisi, transisi_duduk_ke_sujud, , 
