231766, 2551, 753, 3404, 79, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232924, 2544, 1504, 2983, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
232962, 2718, 1468, 2960, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233000, 2517, 1600, 2908, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233038, 2659, 1421, 2870, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233076, 2708, 1487, 2849, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233114, 2590, 1698, 2800, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233152, 2755, 1339, 2757, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233190, 2756, 1532, 2768, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233228, 2813, 1467, 2664, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233266, 2718, 1572, 2751, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233304, 2812, 1491, 2682, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233342, 2843, 1470, 2586, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233381, 2828, 1487, 2696, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233420, 2881, 1440, 2608, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233459, 2888, 1556, 2624, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233498, 2843, 1556, 2583, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233536, 2909, 1456, 2612, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233575, 2885, 1493, 2580, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233614, 2957, 1476, 2536, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233653, 2923, 1521, 2511, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233692, 2949, 1484, 2543, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233737, 2936, 1495, 2520, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
233782, 3002, 1412, 2523, 80, 790a052e-b5c3-498a-8b39-bd23aa69b313, , transisi, transisi_duduk_ke_sujud, , 
