542161, 891, 2169, 3318, 79, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543022, 1832, 2373, 2636, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543064, 2097, 2375, 3133, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543105, 2452, 1307, 3129, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543146, 2290, 1918, 3304, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543187, 2355, 1847, 2965, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543229, 2524, 1760, 3050, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543270, 2353, 2226, 2731, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543311, 2378, 2084, 2755, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543353, 2404, 1928, 2771, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543398, 2520, 1796, 2763, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543443, 2542, 1889, 2648, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543488, 2554, 1871, 2755, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543533, 2616, 1774, 2664, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543578, 2608, 1916, 2514, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543623, 2746, 1747, 2624, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543668, 2648, 1868, 2587, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543713, 2743, 1712, 2644, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543758, 2682, 1822, 2511, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543803, 2954, 1536, 2447, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543839, 2915, 1613, 2389, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543876, 2990, 1531, 2407, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543912, 2985, 1585, 2465, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543949, 2926, 1689, 2342, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
543986, 3001, 1574, 2404, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544022, 3084, 1537, 2367, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544059, 3034, 1737, 2183, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544095, 3149, 1600, 2208, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544132, 3145, 1588, 2134, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544169, 3161, 1586, 2143, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544201, 3160, 1647, 2164, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544234, 3229, 1531, 2119, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544267, 3204, 1567, 2116, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544300, 3219, 1574, 2121, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544333, 3203, 1596, 2106, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544365, 3252, 1521, 2089, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544398, 3257, 1529, 2050, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544431, 3284, 1464, 2034, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544464, 3274, 1529, 2003, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544497, 3338, 1477, 1984, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544530, 3345, 1424, 1926, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544566, 3323, 1506, 1988, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
544602, 3347, 1490, 1968, 78, cba29067-1b68-4cf7-a641-27d90c3a9d32, , transisi, transisi_duduk_ke_sujud, , 
