183225, 2478, 1728, 2881, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184754, 1949, 2561, 2559, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184795, 1864, 2377, 2501, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184836, 2016, 2597, 2833, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184871, 2029, 2670, 2599, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184906, 1974, 2432, 2642, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184941, 2074, 2549, 2806, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
184976, 2089, 2413, 2750, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185011, 2188, 2357, 2818, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185046, 2123, 2430, 2543, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185081, 2150, 2462, 2680, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185116, 2219, 2204, 2553, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185151, 2283, 2395, 2652, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185186, 2427, 2144, 2592, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185227, 2376, 2130, 2617, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185268, 2399, 2261, 2570, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185310, 2449, 2149, 2604, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185351, 2423, 2153, 2569, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185392, 2414, 2225, 2534, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185434, 2464, 2190, 2525, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185475, 2538, 2057, 2548, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185516, 2568, 2055, 2523, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185558, 2527, 2028, 2588, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185599, 2506, 2105, 2565, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185641, 2474, 2245, 2472, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185674, 2459, 2113, 2584, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185708, 2450, 2170, 2541, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185741, 2456, 2162, 2512, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185775, 2444, 2209, 2537, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185808, 2432, 2152, 2574, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185842, 2437, 2188, 2544, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185875, 2454, 2193, 2561, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185909, 2411, 2192, 2554, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
185942, 2393, 2234, 2528, 85, 078614dc-d91d-4e41-a480-a2c5f4969932, , transisi, transisi_duduk_ke_sujud, , 
