107836, 1402, 1462, 3677, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108479, 2109, 1422, 3041, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108515, 2177, 1043, 3090, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108551, 2479, 599, 3158, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108586, 1971, 753, 3494, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108622, 2396, 387, 2737, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108658, 2103, 408, 3500, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108694, 2103, 698, 3041, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108729, 1686, 536, 2746, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108765, 2107, 172, 2918, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108801, 2668, 776, 3096, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108837, 3574, 441, 4799, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108877, 3267, 1403, 3256, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108917, 2811, 578, 3688, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108957, 2984, 528, 3527, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
108998, 2958, 698, 3248, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109038, 2589, -106, 3563, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109078, 1685, 1128, 3588, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109119, 2066, 553, 2029, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109159, 2306, 481, 3554, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109199, 2119, 644, 3424, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109240, 2013, 744, 3556, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109276, 2049, 763, 3500, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109313, 2085, 786, 3527, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109350, 2121, 837, 3430, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109387, 2185, 762, 3515, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109424, 2130, 888, 3416, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109461, 2191, 813, 3438, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109498, 2300, 873, 3389, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109535, 2378, 798, 3340, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109572, 2456, 808, 3072, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109609, 2454, 836, 3258, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109646, 2497, 771, 3235, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109683, 2483, 801, 3242, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109720, 2471, 799, 3239, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109758, 2547, 819, 3171, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109795, 2587, 708, 3176, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109832, 2582, 766, 3157, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109869, 2597, 767, 3176, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109907, 2620, 751, 3124, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109944, 2665, 747, 3094, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
109981, 2724, 748, 3075, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
110019, 2701, 694, 3064, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
110063, 2744, 754, 3030, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
110107, 2783, 680, 3019, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
110151, 2772, 684, 3019, 92, cf7eec1d-8706-4281-90e9-8821031307e4, , transisi, transisi_duduk_ke_sujud, , 
