288409, 2747, 1453, 2703, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289318, 1695, 209, 3214, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289355, 1883, 1774, 3144, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289392, 1698, 2088, 3414, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289429, 2001, 1632, 3369, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289466, 2197, 1206, 3169, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289503, 2098, 1623, 3200, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289540, 2128, 1419, 3228, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289577, 2356, 1480, 3060, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289614, 1995, 1547, 3270, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289651, 2305, 1407, 3153, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289688, 2377, 1604, 3079, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289730, 2405, 1517, 3086, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289773, 2353, 1607, 3032, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289816, 2384, 1475, 3010, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289859, 2443, 1454, 2947, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289902, 2409, 1416, 2999, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289945, 2443, 1471, 3022, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
289988, 2431, 1577, 2987, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290031, 2497, 1503, 2946, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290074, 2486, 1537, 2986, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290117, 2519, 1479, 2908, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290153, 2584, 1460, 2924, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290190, 2635, 1483, 2889, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290226, 2730, 1399, 2856, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290263, 2690, 1484, 2814, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290299, 2727, 1423, 2785, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290336, 2740, 1441, 2781, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290372, 2819, 1390, 2726, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290409, 2818, 1392, 2695, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290445, 2845, 1347, 2699, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290482, 2848, 1397, 2686, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
290519, 2882, 1385, 2687, 88, 7882aac4-7784-418f-a8ec-8375f82acd81, , transisi, transisi_duduk_ke_sujud, , 
