88316, 1661, 2642, 2717, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89280, 3578, 2301, 1775, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89322, 4072, 2172, 1216, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89363, 4052, 2202, 1675, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89405, 1637, 1550, 3018, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89447, 1836, 2758, 2727, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89489, 2257, 2012, 2683, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89531, 2089, 2508, 2566, 94, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89570, 2029, 2702, 2618, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89609, 2040, 2471, 2434, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89648, 2114, 2683, 2501, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89687, 2235, 2498, 2405, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89727, 1976, 2787, 2388, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89766, 2313, 2628, 2321, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89805, 2297, 2618, 2205, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89844, 2426, 2657, 2138, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89883, 2446, 2499, 2019, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89923, 2437, 2703, 1952, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89958, 2505, 2721, 1926, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
89994, 2490, 2783, 1814, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90030, 2554, 2822, 1681, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90065, 2542, 2839, 1661, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90101, 2616, 2745, 1515, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90137, 2697, 2823, 1490, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90173, 2503, 2884, 1453, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90208, 2668, 2870, 1379, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90244, 2623, 2922, 1283, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90280, 2609, 2963, 1373, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90316, 2602, 2964, 1275, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
90356, 2625, 2907, 1226, 95, 811928bf-7c3c-43dc-9490-b0a3754cc1b9, , transisi, transisi_duduk_ke_sujud, , 
