147928, 1224, 2252, 3277, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
148972, 1987, 1825, 2952, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149008, 2197, 2101, 3082, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149043, 2097, 1898, 3024, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149078, 2438, 1656, 3004, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149114, 2237, 2022, 2972, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149149, 2144, 2193, 2771, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149185, 2403, 1875, 2852, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149226, 2078, 2196, 2726, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149267, 2452, 1995, 2799, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149308, 2377, 1995, 2758, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149349, 2313, 2105, 2729, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149390, 2554, 2026, 2683, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149431, 2486, 1951, 2598, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149472, 2617, 1963, 2626, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149513, 2625, 1821, 2539, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149554, 2601, 1938, 2555, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149595, 2634, 1892, 2511, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149637, 2675, 1875, 2481, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149679, 2749, 1903, 2448, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149721, 2814, 1814, 2418, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149763, 2845, 1968, 2295, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149805, 2873, 2002, 2216, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149847, 2942, 1939, 2256, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149889, 2921, 1946, 2224, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149931, 3021, 1774, 2182, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
149973, 3041, 1863, 2108, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
150016, 3055, 1858, 2091, 86, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
150051, 3012, 1950, 2084, 84, 068d3b0e-b68d-4f70-bd54-60a1d30ffbf5, , transisi, transisi_duduk_ke_sujud, , 
