89512, 1093, 2870, 2801, 67, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90848, 1994, 2737, 2528, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90887, 2044, 2660, 2458, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90925, 2260, 2537, 2466, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
90964, 2156, 2585, 2328, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91003, 2162, 2715, 2308, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91041, 2455, 2413, 2393, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91080, 2353, 2509, 2149, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91119, 2466, 2426, 2130, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91158, 2634, 2408, 2082, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91197, 2518, 2514, 2134, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91236, 2554, 2498, 2061, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91275, 2558, 2566, 2028, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91314, 2537, 2628, 1905, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91354, 2626, 2596, 1923, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91393, 2587, 2673, 1841, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91432, 2564, 2669, 1834, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91471, 2571, 2732, 1765, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91510, 2557, 2706, 1758, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91550, 2624, 2656, 1761, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91586, 2653, 2658, 1732, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91623, 2610, 2751, 1663, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91660, 2583, 2759, 1666, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
91697, 2644, 2708, 1710, 68, 21a873d2-6e76-4cad-80ad-57f5677f9ba2, , transisi, transisi_duduk_ke_sujud, , 
