355889, 1499, 1133, 3588, 84, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356877, 4651, 2167, 2008, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356920, -778, -4008, 2603, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
356962, 1906, 1893, 3247, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357005, 2023, 502, 3705, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357048, 2151, 931, 3414, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357090, 2145, 758, 3385, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357133, 2220, 795, 3446, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357175, 2196, 821, 3396, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357218, 2304, 870, 3359, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357261, 2358, 740, 3356, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357297, 2372, 891, 3309, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357333, 2468, 907, 3248, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357369, 2518, 820, 3210, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357406, 2539, 864, 3208, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357442, 2589, 797, 3141, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357478, 2592, 855, 3145, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357515, 2448, 956, 3205, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357551, 2506, 873, 3144, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357587, 2605, 866, 3145, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357624, 2617, 838, 3102, 83, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357664, 2657, 770, 3130, 79, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357705, 2595, 897, 3122, 79, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357745, 2660, 851, 3080, 79, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357786, 2685, 818, 3091, 79, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
357826, 2706, 869, 2998, 79, 9b166234-cbf1-4e51-938a-a7e3c12d6fb5, , transisi, transisi_duduk_ke_sujud, , 
