63725, 2595, 2446, 2913, 85, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64686, 3375, 541, 1597, 87, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64724, 4689, 2222, 1949, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64763, 3791, 1695, 1558, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64801, 3529, 1934, 2208, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64840, 3011, 1776, 2115, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64878, 2496, 2261, 2913, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64917, 2058, 2125, 3068, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64955, 2271, 1484, 3228, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
64994, 2149, 1665, 3193, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65032, 2136, 1406, 3171, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65071, 2305, 1554, 3062, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65113, 2190, 1711, 3033, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65155, 2466, 1661, 3061, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65197, 2329, 1546, 2911, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65239, 2379, 1743, 3000, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65281, 2536, 1626, 2898, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65323, 2509, 1679, 2825, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65365, 2555, 1714, 2723, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65407, 2514, 1919, 2755, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65449, 2590, 1858, 2571, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65491, 2740, 1878, 2592, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65525, 2612, 2055, 2466, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65559, 2583, 2104, 2461, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65594, 2765, 2042, 2341, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65628, 2759, 2178, 2091, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65662, 2595, 2391, 2150, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65697, 2720, 2394, 1983, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
65731, 2778, 2474, 1831, 89, c5cd8af8-835c-44f2-90a8-4dbe5c517397, , transisi, transisi_duduk_ke_sujud, , 
