104711, 2135, 2172, 2844, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105746, 2608, 1824, 2707, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105788, 2682, 1742, 2666, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105830, 2713, 1922, 2456, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105872, 2825, 1955, 2457, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105914, 2836, 1873, 2451, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105956, 2282, 2178, 2692, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
105998, 2612, 1838, 2656, 116, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106035, 2509, 2045, 2581, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106072, 2617, 1963, 2531, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106110, 2643, 1962, 2546, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106147, 2647, 1937, 2434, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106185, 2639, 2108, 2428, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106222, 2758, 2051, 2377, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106260, 2727, 2112, 2280, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106297, 2756, 2124, 2301, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106335, 2787, 2127, 2213, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106372, 2833, 2041, 2172, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106410, 2888, 2114, 2141, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106447, 2882, 2061, 2158, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106484, 2852, 2066, 2070, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106521, 2939, 2094, 2048, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106558, 2938, 2172, 2034, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106595, 2953, 2117, 1998, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106632, 2973, 2159, 1943, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106669, 2925, 2249, 1873, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106706, 2964, 2266, 1816, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106743, 2943, 2197, 1718, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106781, 2994, 2300, 1723, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106819, 2949, 2331, 1640, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106857, 2997, 2366, 1656, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106895, 3043, 2314, 1582, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106933, 3098, 2276, 1566, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
106971, 3114, 2266, 1518, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
107009, 3133, 2184, 1523, 117, f31dddb2-82c5-42c3-b764-e946447fee0b, , transisi, transisi_duduk_ke_sujud, , 
