323342, 3166, 836, 2271, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324615, 2791, 1293, 2907, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324655, 2741, 1418, 2864, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324695, 2796, 1403, 2793, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324735, 2753, 1519, 2803, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324770, 2863, 1248, 2768, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324805, 2858, 1341, 2748, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324841, 2855, 1291, 2763, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324876, 2936, 1191, 2673, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324912, 2888, 1332, 2722, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324947, 2820, 1341, 2693, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
324983, 2935, 1224, 2690, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
325018, 2947, 1206, 2669, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
325054, 2996, 1235, 2643, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
325089, 2907, 1188, 2687, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
325125, 2993, 1245, 2652, 98, de67a82b-2916-4d57-b32e-62df86653265, , transisi, transisi_duduk_ke_sujud, , 
