357089, 2921, 1558, 2463, 83, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360207, 3259, 1228, 2248, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360245, 3282, 1361, 2220, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360283, 3254, 1249, 2144, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360321, 3271, 933, 2185, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360359, 3409, 928, 2084, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360397, 3356, 1156, 2162, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360436, 3396, 1040, 2137, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360476, 3423, 1033, 2176, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360517, 3408, 1004, 2125, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360557, 3376, 1290, 2057, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360598, 3450, 1138, 2055, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360638, 3455, 980, 2024, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360679, 3451, 1097, 1990, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360719, 3499, 1094, 2041, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360760, 3485, 1065, 2013, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360800, 3470, 1059, 2035, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360841, 3465, 1097, 2011, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360881, 3498, 1105, 1966, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360922, 3544, 1058, 1952, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
360962, 3511, 1043, 1948, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361003, 3526, 1035, 1874, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361044, 3530, 1057, 1895, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361084, 3572, 1080, 1902, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361125, 3519, 1081, 1908, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361165, 3551, 1101, 1903, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361206, 3561, 1039, 1897, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361247, 3600, 1103, 1812, 78, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
361282, 3627, 1083, 1751, 75, d530ecd3-cd77-4227-84d7-354ad84ac234, , transisi, transisi_duduk_ke_sujud, , 
