100995, 2862, 1499, 2557, 75, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101814, 3261, 745, 2760, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101854, 2767, 672, 2538, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101894, 3468, 1151, 2283, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101934, 3300, 1246, 2750, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
101975, 3683, 1234, 2316, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102017, 3923, 974, 2123, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102058, 3367, 969, 1288, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102100, 4618, 4747, 800, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102142, 2979, -1834, 9721, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102183, 1752, 1768, 2276, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102225, 1988, 951, 3843, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102266, 2410, 1744, 2964, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102308, 2232, 1334, 3292, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102350, 2229, 1574, 3053, 77, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102385, 2218, 1712, 3069, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102420, 2607, 1299, 3137, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102455, 2312, 1628, 3277, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102490, 2370, 1451, 3125, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102525, 2221, 1491, 3182, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102560, 2381, 1538, 3080, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102595, 2404, 1466, 3037, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102630, 2438, 1294, 3114, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102665, 2273, 1623, 3015, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102700, 2564, 1351, 2969, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102736, 2461, 1488, 3000, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102776, 2656, 1378, 2873, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102817, 2577, 1425, 2938, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102858, 2601, 1388, 2953, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102898, 2659, 1383, 2920, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102939, 2582, 1401, 2944, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
102980, 2687, 1426, 2887, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103020, 2647, 1433, 2859, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103061, 2695, 1347, 2838, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103102, 2704, 1350, 2854, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103143, 2806, 1498, 2831, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103178, 2767, 1395, 2813, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103213, 2634, 1411, 2863, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103249, 2679, 1370, 2900, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103284, 2688, 1338, 2892, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103320, 2633, 1291, 2869, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103355, 2784, 1446, 2810, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103391, 2795, 1430, 2836, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
103426, 2751, 1288, 2827, 78, 07361295-6be9-449e-b0be-fdf17694539e, , transisi, transisi_duduk_ke_sujud, , 
