180972, 1723, 2124, 3269, 103, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182694, 2951, 2096, 2002, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182728, 3035, 2024, 2030, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182762, 3014, 2110, 2111, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182796, 2970, 1944, 2111, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182831, 3079, 1926, 2081, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182865, 3101, 1907, 1967, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182899, 3155, 1825, 1835, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182933, 3193, 1877, 1888, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
182968, 3122, 1975, 1825, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
183002, 3146, 1998, 1871, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
183036, 3099, 2107, 1801, 101, e6e6a1c2-95e4-4a5c-8f46-3b25a9340306, , transisi, transisi_duduk_ke_sujud, , 
