125347, 2528, 1723, 2739, 100, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127457, 3614, 1205, 1670, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127499, 3696, 1064, 1578, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127542, 3669, 1179, 1601, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127584, 3721, 1049, 1523, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127627, 3669, 1050, 1648, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127669, 3687, 1073, 1576, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127711, 3658, 1091, 1452, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127754, 3678, 1058, 1644, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127796, 3683, 1082, 1623, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127839, 3660, 1073, 1623, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127881, 3671, 1179, 1590, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127923, 4073, 1009, 1309, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
127966, 3678, 1123, 1551, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128008, 3739, 1066, 1487, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128050, 3657, 1141, 1546, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128093, 3692, 1068, 1548, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128135, 3720, 1080, 1554, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128177, 3708, 1044, 1554, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128220, 3729, 1075, 1556, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128262, 3777, 1036, 1544, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128305, 3692, 1050, 1501, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128338, 3746, 1095, 1482, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128371, 3727, 1057, 1473, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128404, 3713, 1129, 1450, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128437, 3739, 1040, 1486, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128470, 3724, 1036, 1440, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128503, 3767, 1023, 1451, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128536, 3755, 1041, 1436, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128569, 3767, 1067, 1410, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128602, 3839, 996, 1261, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128635, 3736, 1087, 1360, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128675, 3792, 1040, 1362, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128715, 3750, 1055, 1342, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128756, 3799, 1067, 1332, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128796, 3785, 1081, 1366, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
128837, 3777, 1099, 1320, 98, 7538bd99-afe0-460f-ad22-adcdafaf8614, , transisi, transisi_duduk_ke_sujud, , 
