139654, 1995, 3077, 1910, 82, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140755, 2213, 2323, 2355, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140796, 2992, 2289, 2075, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140837, 3293, 2654, 1902, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140875, 3530, 1875, 1700, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140913, 4241, 1712, -2739, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140951, 8340, 2641, 4444, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
140989, 4789, -1781, 1255, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141027, 1558, 4583, 2555, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141065, 1815, 3344, 1874, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141103, 3884, 1184, 1977, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141141, 2536, 2985, 1803, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141179, 2883, 1880, 1790, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141217, 3014, 2025, 1966, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141255, 2930, 2247, 2126, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141292, 2932, 2115, 2000, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141330, 2929, 2240, 1585, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141367, 3056, 2235, 1809, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141405, 3045, 2297, 1647, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141443, 3034, 2168, 1812, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141480, 2963, 2409, 1642, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141518, 3022, 2126, 1897, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141555, 2972, 2266, 1527, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141593, 2977, 2355, 1844, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141631, 3019, 2233, 1622, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141667, 2965, 2300, 1758, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141704, 2944, 2398, 1745, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141741, 2978, 2280, 1757, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141777, 2941, 2370, 1722, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141814, 2942, 2216, 1885, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141851, 2876, 2403, 1754, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141888, 2871, 2348, 1886, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141924, 2845, 2419, 1716, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141961, 2811, 2507, 1805, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
141998, 2883, 2384, 1780, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142035, 2865, 2419, 1721, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142075, 2951, 2359, 1656, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142116, 2900, 2411, 1697, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142156, 2922, 2398, 1676, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142197, 2860, 2560, 1652, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142238, 2789, 2556, 1774, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142278, 2934, 2368, 1693, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142319, 2955, 2376, 1576, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142359, 2932, 2419, 1670, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142400, 2947, 2346, 1702, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142441, 2991, 2337, 1500, 81, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142480, 2947, 2424, 1608, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142519, 2930, 2495, 1646, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142559, 2895, 2477, 1641, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142598, 2868, 2444, 1581, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142638, 2903, 2333, 1961, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142677, 2849, 2522, 1636, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142716, 2846, 2583, 1504, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142756, 2951, 2475, 1483, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142795, 3001, 2491, 1451, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142835, 2959, 2508, 1442, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142872, 2980, 2434, 1464, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142910, 3035, 2398, 1389, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142948, 3025, 2429, 1441, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
142986, 3039, 2395, 1346, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143024, 3022, 2522, 1388, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143061, 3081, 2366, 1360, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143099, 3057, 2428, 1390, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143137, 3103, 2333, 1426, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143175, 3078, 2374, 1369, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143213, 3108, 2340, 1403, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143251, 3076, 2375, 1438, 79, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143290, 3084, 2364, 1400, 76, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143329, 3063, 2410, 1422, 76, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143368, 3103, 2416, 1413, 76, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143407, 3139, 2364, 1315, 76, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143446, 3179, 2172, 1486, 76, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143485, 3195, 2114, 1405, 76, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
143524, 3267, 2160, 1538, 76, cd67d38c-365a-429e-b3a9-cb9f01a5d88c, , transisi, transisi_duduk_ke_sujud, , 
