190999, 2884, 1270, 2645, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192145, 2742, 2289, 2019, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192182, 2900, 2147, 2044, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192219, 2880, 2424, 1926, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192256, 2958, 2232, 1851, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192293, 3051, 2130, 1836, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192330, 3071, 2109, 1683, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192368, 3059, 2218, 1686, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192409, 3109, 2247, 1591, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192451, 3119, 2230, 1480, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192493, 3122, 2309, 1459, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192535, 3183, 2277, 1387, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192577, 3182, 2298, 1304, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192618, 3192, 2299, 1218, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192660, 3230, 2302, 1206, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192702, 3238, 2339, 1130, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192744, 3321, 2299, 1115, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
192786, 3200, 2276, 1028, 100, ad5733f3-c96e-4618-a9d0-8b22bcffb973, , transisi, transisi_duduk_ke_sujud, , 
