44110, 2597, 1476, 2924, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44958, 2113, 1369, 2957, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
44997, 2612, 1807, 2869, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45035, 3155, 1239, 3448, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45073, 3290, 1876, 3446, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45111, 2456, 3231, 3758, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45149, 2902, 2404, 3055, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45188, 2083, 2055, 2527, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45224, 1834, 2751, 2935, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45261, 2045, 1798, 3358, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45298, 2224, 1839, 2870, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45334, 2225, 2485, 2883, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45371, 2178, 2264, 3314, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45408, 1964, 2014, 2721, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45445, 1922, 2596, 2768, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45481, 1994, 2254, 2861, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45518, 2335, 2081, 2977, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45555, 2144, 2401, 2823, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45592, 2055, 2373, 2800, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45633, 2047, 2325, 2700, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45674, 1987, 2399, 2696, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45715, 2026, 2374, 2643, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45756, 2264, 2132, 2746, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45798, 2272, 2100, 2811, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45839, 2377, 2043, 2794, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45880, 2381, 2081, 2704, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45921, 2274, 2259, 2689, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
45962, 2330, 2093, 2722, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46004, 2405, 2129, 2713, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46047, 2273, 2240, 2664, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46090, 2310, 2093, 2646, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46134, 2418, 2181, 2665, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46177, 2516, 1983, 2631, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46221, 2458, 2040, 2645, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46264, 2407, 2121, 2621, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
46307, 2437, 2038, 2688, 105, f347ca47-c348-4f9f-92bf-6762932ef895, , transisi, transisi_duduk_ke_sujud, , 
