220155, 1505, 1897, 3252, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221493, 2491, 2401, 2308, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221532, 2679, 2175, 2312, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221571, 2592, 2199, 2323, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221610, 2684, 2136, 2273, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221649, 2802, 2058, 2283, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221688, 2866, 1949, 2231, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221727, 2908, 1991, 2207, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221766, 2921, 2041, 2153, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221805, 2956, 2015, 2089, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221844, 3033, 2028, 2017, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221882, 3004, 2054, 1963, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221921, 3020, 2104, 1989, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221959, 3107, 1944, 1946, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
221998, 2923, 2220, 1892, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
222036, 2945, 2305, 1819, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
222075, 2916, 2359, 1733, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
222113, 2889, 2403, 1690, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
222152, 2900, 2461, 1669, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
222190, 2906, 2453, 1648, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
222229, 2895, 2472, 1684, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
222268, 2905, 2413, 1690, 103, 7cdece5d-1e35-40af-b550-20227285018b, , transisi, transisi_duduk_ke_sujud, , 
