119048, 1729, 2855, 2537, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120943, 3084, 2380, 1085, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
120981, 3147, 2512, 737, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121020, 3441, 2450, 1019, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121058, 3260, 2403, 1052, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121097, 3246, 2267, 1141, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121136, 3355, 2189, 1134, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121174, 3266, 2243, 1229, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121213, 3252, 2347, 1163, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121251, 3276, 2251, 963, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121290, 3313, 2321, 1013, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121329, 3313, 2314, 854, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121367, 3352, 2349, 809, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121406, 3272, 2348, 777, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121445, 3254, 2416, 727, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121483, 3236, 2439, 711, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121521, 3314, 2451, 734, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121560, 3311, 2347, 652, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121598, 3275, 2421, 623, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121637, 3348, 2363, 601, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121675, 3318, 2382, 569, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121714, 3285, 2441, 576, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
121752, 3312, 2421, 563, 98, 38be18fc-599d-47a2-87e0-fab778dc5943, , transisi, transisi_duduk_ke_sujud, , 
