177155, 2794, 929, 2933, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178076, 3415, 955, 2274, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178116, 4037, 1082, 2302, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178156, 3853, 1167, 1919, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178196, 3543, 870, 2749, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178236, 3155, 4499, 4669, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178276, 2478, 523, 4082, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178316, 2981, 1280, 1195, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178355, 2917, 947, 4119, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178394, 2556, 806, 2484, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178433, 2315, 1210, 2755, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178472, 3021, 1640, 3209, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178512, 2903, 1441, 3013, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178551, 2651, 1505, 2756, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178590, 2827, 1454, 2879, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178629, 2892, 1278, 2712, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178668, 2883, 1345, 2738, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178708, 2849, 1299, 2757, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178746, 2794, 1391, 2715, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178784, 2856, 1259, 2684, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178823, 2860, 1295, 2754, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178861, 2850, 1242, 2667, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178900, 2851, 1320, 2731, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178938, 2882, 1297, 2728, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
178977, 2865, 1319, 2716, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179015, 2842, 1343, 2737, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179054, 2771, 1404, 2760, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179092, 2916, 1317, 2704, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179131, 2895, 1209, 2709, 99, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179169, 3181, 1014, 2692, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179208, 2778, 1391, 2661, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179247, 2920, 1280, 2710, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179285, 2941, 1288, 2661, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179324, 2907, 1196, 2644, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179363, 2974, 1176, 2640, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179401, 2964, 1287, 2599, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179440, 3069, 1163, 2589, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179479, 3009, 1105, 2615, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179518, 3109, 1130, 2559, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179553, 3113, 1234, 2511, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179588, 3055, 1129, 2550, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179623, 3040, 1149, 2549, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179658, 3087, 1189, 2478, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179693, 3244, 1049, 2507, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179728, 2957, 1196, 2524, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179763, 3030, 1056, 2652, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
179798, 2947, 1010, 2636, 100, cbeb3a0b-1d5d-4645-bd57-803c3e6584d8, , transisi, transisi_duduk_ke_sujud, , 
