102396, 1724, 2527, 2795, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103055, 3554, 2373, 2030, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103097, 4028, 2261, 1346, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103140, 5019, 3219, -1621, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103182, 10636, 3711, 5851, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103224, 550, 2324, 2873, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103267, 1546, 3627, 2186, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103309, 2868, 2072, 2865, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103352, 3354, 1596, 2767, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103384, 2333, 2658, 2567, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103416, 2669, 1851, 2295, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103448, 2456, 2157, 2224, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103480, 2675, 2052, 2348, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103512, 2415, 2517, 2176, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103544, 2774, 2227, 2285, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103576, 2622, 2337, 2082, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103608, 2727, 2241, 2165, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103640, 2747, 2385, 2056, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103673, 2893, 2247, 2028, 74, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103714, 2882, 2322, 1928, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103755, 2992, 2022, 1908, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103796, 2921, 2242, 1913, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103837, 3060, 2129, 1876, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103879, 2992, 2166, 1851, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103920, 3079, 2197, 1831, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
103961, 3091, 2169, 1772, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104002, 3048, 2180, 1667, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104043, 3136, 2119, 1744, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104085, 3150, 2050, 1691, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104124, 3126, 2144, 1568, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104164, 3256, 2131, 1656, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104204, 3189, 2084, 1541, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104243, 3180, 2125, 1551, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104283, 3234, 2096, 1488, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104323, 3268, 2085, 1519, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104363, 3249, 2102, 1496, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104402, 3267, 2114, 1433, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104442, 3304, 2070, 1445, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104482, 3251, 2230, 1293, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104522, 3300, 2137, 1282, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
104557, 3317, 2129, 1218, 75, fd594eb1-29cd-4c42-bc95-daab1e39a849, , transisi, transisi_duduk_ke_sujud, , 
