97404, 565, 1977, 3366, 78, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98650, 2677, 2133, 2385, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98688, 2745, 1991, 2335, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98728, 2775, 2088, 2286, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98768, 2829, 1971, 2281, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98808, 2838, 2028, 2240, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98849, 2896, 1985, 2200, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98889, 2935, 2005, 2200, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98929, 2910, 1972, 2173, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
98969, 2924, 2033, 2163, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99010, 2999, 1895, 2182, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99050, 3010, 1822, 2203, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99090, 2977, 1774, 2238, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99131, 3031, 2239, 2123, 77, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99167, 3229, 1948, 1956, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99204, 3053, 2035, 1966, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99241, 3046, 1915, 2028, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99277, 3174, 1853, 1900, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99314, 3188, 1834, 1829, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99351, 3204, 1940, 1736, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99387, 3275, 1953, 1723, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99424, 3293, 1889, 1510, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
99461, 3347, 1820, 1649, 76, 5c9199d6-7c30-4bd6-8ea3-9577eedb278c, , transisi, transisi_duduk_ke_sujud, , 
