232058, 2177, 2138, 3014, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233320, 2241, 2043, 2868, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233358, 2222, 2035, 2865, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233397, 2215, 2042, 2854, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233435, 2214, 2029, 2826, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233473, 2218, 2074, 2868, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233512, 2221, 1998, 2840, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233550, 2244, 1998, 2848, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233589, 2206, 2029, 2891, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233625, 2204, 2030, 2855, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233662, 2231, 2031, 2863, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233698, 2235, 2047, 2868, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233735, 2227, 1985, 2858, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233772, 2202, 2052, 2875, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233808, 2208, 2023, 2852, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233845, 2216, 2011, 2888, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233882, 2204, 2046, 2841, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233918, 2219, 2054, 2854, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233955, 2220, 2029, 2848, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
233992, 2211, 2016, 2877, 89, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234031, 2225, 2042, 2853, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234071, 2219, 2031, 2855, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234110, 2231, 2022, 2869, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234150, 2230, 2052, 2838, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234190, 2214, 2016, 2848, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234229, 2191, 2026, 2855, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234269, 2206, 2070, 2883, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234308, 2178, 2051, 2864, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234348, 2177, 2089, 2872, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234388, 2197, 2025, 2846, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234422, 2172, 2069, 2853, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234457, 2198, 2031, 2870, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234491, 2211, 2034, 2865, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234526, 2239, 2044, 2844, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234560, 2166, 2004, 2890, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234595, 2180, 2110, 2851, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234629, 2099, 2062, 2864, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234664, 2155, 2139, 2881, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234698, 2158, 2020, 2806, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234733, 2200, 2076, 2874, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234768, 2190, 2062, 2871, 88, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234810, 2182, 2055, 2910, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234852, 2165, 2049, 2888, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234895, 2181, 2073, 2845, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234937, 2202, 2042, 2849, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
234980, 2189, 2097, 2847, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235022, 2168, 2079, 2862, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235064, 2186, 2056, 2865, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235107, 2203, 2077, 2847, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235149, 2206, 2051, 2854, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235192, 2193, 2064, 2860, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235232, 2184, 2059, 2850, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235273, 2187, 2057, 2858, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235314, 2188, 2098, 2846, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235355, 2185, 2063, 2856, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235396, 2205, 2034, 2865, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235437, 2222, 2064, 2859, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235478, 2211, 2069, 2849, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235519, 2208, 2094, 2846, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235560, 2177, 2041, 2852, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235601, 2189, 2091, 2862, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235636, 2169, 2093, 2842, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235671, 2178, 2087, 2860, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235706, 2177, 2076, 2836, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235741, 2189, 2049, 2861, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235776, 2195, 2055, 2853, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235811, 2187, 2084, 2857, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235846, 2145, 2108, 2850, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235881, 2157, 2106, 2898, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235916, 2160, 2111, 2871, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235951, 2173, 2104, 2902, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
235986, 2170, 2115, 2856, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
236024, 2190, 2024, 2833, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
236063, 2165, 2124, 2895, 85, e26b7f3b-4e86-4a7a-9587-91d2df42d28d, , duduk, duduk_antara_dua_sujud, , 
