284299, 2874, 1135, 2789, 84, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285358, 2933, 1087, 2769, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285398, 2908, 1145, 2797, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285438, 2830, 1135, 2789, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285478, 2825, 1186, 2771, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285518, 2830, 1170, 2798, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285558, 2858, 1171, 2785, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285598, 2907, 1046, 2793, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285638, 2923, 1212, 2733, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285678, 3002, 1108, 2707, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285718, 2893, 1104, 2782, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285756, 2874, 1147, 2761, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285795, 2848, 1183, 2760, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285834, 2838, 1177, 2787, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285873, 2888, 1140, 2707, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285912, 2867, 1190, 2783, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285951, 2875, 1162, 2764, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
285990, 2880, 1151, 2791, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286029, 2824, 1213, 2785, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286068, 2829, 1212, 2794, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286107, 2873, 1187, 2776, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286145, 2852, 1165, 2747, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286183, 2830, 1290, 2777, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286221, 2794, 1225, 2761, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286260, 2833, 1291, 2790, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286298, 2812, 1224, 2740, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286336, 2833, 1257, 2777, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286374, 2826, 1245, 2785, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286413, 2863, 1290, 2744, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286451, 2862, 1411, 2673, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286489, 2893, 1121, 2802, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286528, 2858, 1119, 2827, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286565, 2823, 1156, 2806, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286603, 2831, 1191, 2776, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286640, 2798, 1280, 2766, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286678, 2786, 1322, 2744, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286715, 2825, 1295, 2787, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286753, 2834, 1234, 2747, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286790, 2824, 1210, 2824, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286828, 2837, 1264, 2763, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286865, 2861, 1259, 2771, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286903, 2794, 1221, 2798, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286941, 2814, 1277, 2801, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
286979, 2796, 1279, 2755, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287018, 2807, 1325, 2795, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287056, 2837, 1293, 2777, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287095, 2839, 1298, 2773, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287133, 2836, 1191, 2810, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287171, 2832, 1216, 2711, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287210, 2799, 1384, 2799, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287248, 2806, 1203, 2788, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287287, 2777, 1270, 2793, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287326, 2817, 1277, 2737, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287365, 2834, 1345, 2787, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287404, 2876, 1237, 2724, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287443, 2842, 1283, 2705, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287482, 2691, 1332, 2815, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287521, 2780, 1413, 2723, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287560, 2831, 1387, 2742, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287599, 2862, 1275, 2784, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287638, 2862, 1204, 2762, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287677, 2833, 1256, 2773, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287716, 2803, 1338, 2757, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287754, 2805, 1359, 2747, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287793, 2813, 1310, 2762, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287832, 2786, 1268, 2789, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287870, 2791, 1322, 2780, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287909, 2820, 1342, 2702, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287948, 2833, 1281, 2800, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
287986, 2833, 1283, 2750, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288025, 2820, 1261, 2791, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288064, 2832, 1325, 2756, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288103, 2797, 1366, 2728, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288141, 2789, 1262, 2824, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288179, 2812, 1410, 2771, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288217, 2839, 1386, 2746, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288256, 2834, 1312, 2760, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288294, 2828, 1323, 2781, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288332, 2816, 1328, 2768, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
288370, 2808, 1406, 2717, 88, 8a159624-5223-4c2d-87b1-928f2c74bfea, , duduk, duduk_antara_dua_sujud, , 
