143018, 2643, 1176, 3052, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
143969, 2679, 1092, 2936, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144009, 2663, 1118, 3028, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144049, 2682, 1200, 2961, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144089, 2624, 1160, 3002, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144130, 2645, 1150, 2980, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144171, 2703, 1136, 2984, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144212, 2693, 1110, 2967, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144254, 2636, 1153, 3035, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144295, 2664, 1184, 2983, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144336, 2669, 1164, 2969, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144378, 2650, 1179, 3003, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144419, 2655, 1163, 2997, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144460, 2691, 1165, 2999, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144502, 2646, 1138, 2990, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144537, 2659, 1205, 3007, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144573, 2672, 1111, 2935, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144608, 2655, 1158, 3007, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144644, 2639, 1124, 3000, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144679, 2622, 1171, 2986, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144715, 2639, 1136, 3001, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144750, 2654, 1151, 2990, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144786, 2668, 1148, 3001, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144821, 2656, 1164, 2981, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144857, 2661, 1129, 3001, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144893, 2653, 1178, 3014, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144935, 2630, 1162, 2966, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
144978, 2653, 1153, 3006, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145020, 2624, 1174, 2982, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145063, 2656, 1164, 2998, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145105, 2628, 1184, 2970, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145148, 2650, 1132, 2986, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145190, 2631, 1174, 2982, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145233, 2621, 1158, 3018, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145275, 2638, 1190, 2971, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145318, 2648, 1164, 3007, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145351, 2672, 1165, 2989, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145385, 2660, 1176, 3012, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145418, 2641, 1176, 2973, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145452, 2618, 1198, 3007, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145486, 2626, 1175, 2955, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145519, 2638, 1158, 3004, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145553, 2652, 1187, 2987, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145587, 2663, 1103, 3006, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145620, 2555, 1285, 3063, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145654, 2645, 1260, 2950, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145688, 2500, 1244, 3014, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145728, 2527, 1300, 2944, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145768, 2640, 1283, 2958, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145809, 2640, 1265, 3027, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145849, 2682, 1165, 2999, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145890, 2646, 1202, 2999, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145930, 2617, 1232, 2988, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
145970, 2607, 1257, 2988, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146011, 2614, 1252, 2983, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146051, 2621, 1228, 2997, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146092, 2638, 1213, 2973, 81, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146138, 2639, 1212, 3001, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146185, 2644, 1213, 2980, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146231, 2618, 1239, 2976, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146278, 2604, 1207, 2946, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146324, 2589, 1245, 3001, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146371, 2638, 1215, 2978, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146417, 2629, 1245, 3006, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146464, 2628, 1172, 2977, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146510, 2638, 1191, 2985, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146557, 2621, 1241, 3006, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146587, 2623, 1240, 2958, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146617, 2618, 1218, 2978, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146647, 2599, 1194, 2970, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146677, 2613, 1246, 3007, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146707, 2604, 1236, 2973, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146738, 2626, 1255, 2986, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146768, 2668, 1213, 2948, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146798, 2635, 1291, 3010, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146828, 2594, 1258, 2972, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146858, 2621, 1253, 2987, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146889, 2685, 1221, 2962, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146930, 2675, 1192, 2933, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
146972, 2650, 1278, 2971, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
147014, 2628, 1245, 2934, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
147056, 2676, 1258, 2977, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
147098, 2694, 1175, 2995, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
147140, 2654, 1262, 3016, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
147182, 2670, 1244, 2966, 82, 4ba24374-2cd1-4783-8b8b-35ae7f041e87, , duduk, duduk_antara_dua_sujud, , 
