177044, 1770, 2916, 2422, 89, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178243, 1645, 2933, 2469, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178281, 1640, 2895, 2469, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178319, 1622, 2891, 2416, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178356, 1625, 2944, 2453, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178394, 1586, 2893, 2464, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178432, 1630, 2925, 2451, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178470, 1627, 2885, 2485, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178508, 1606, 2930, 2468, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178546, 1600, 2895, 2444, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178584, 1613, 2911, 2478, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178622, 1600, 2881, 2467, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178660, 1609, 2937, 2455, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178698, 1638, 2910, 2445, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178736, 1611, 2893, 2429, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178774, 1617, 2956, 2488, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178812, 1602, 2931, 2458, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178850, 1587, 2905, 2416, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178888, 1656, 2900, 2459, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178927, 1613, 2939, 2437, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
178964, 1605, 2925, 2467, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179002, 1619, 2893, 2426, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179039, 1595, 2907, 2476, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179077, 1607, 2913, 2449, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179115, 1597, 2941, 2440, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179152, 1588, 2900, 2452, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179190, 1619, 2884, 2437, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179227, 1634, 2934, 2479, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
179265, 1582, 2902, 2449, 90, 4b10918e-4773-4690-b293-a6912ac1d8a7, , duduk, duduk_antara_dua_sujud, , 
