137714, 130, 2471, 3341, 99, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138478, 1079, 1996, 3472, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138517, 1076, 2013, 3498, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138557, 1040, 1987, 3453, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138597, 1066, 1978, 3511, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138634, 1093, 2013, 3406, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138672, 1113, 1962, 3469, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138709, 1115, 1962, 3475, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138747, 1060, 1977, 3419, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138785, 1096, 1982, 3488, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138822, 1083, 1953, 3512, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138860, 1075, 1994, 3513, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138897, 1052, 1989, 3495, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138935, 1052, 1971, 3447, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
138973, 1083, 1929, 3482, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139012, 839, 1840, 3396, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139051, 994, 1863, 3550, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139090, 935, 1917, 3591, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139129, 899, 1954, 3620, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139168, 969, 1892, 3474, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139207, 957, 1973, 3488, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139246, 1015, 1880, 3604, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139285, 1171, 1829, 3468, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139324, 913, 1761, 3623, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139363, 1056, 1777, 3537, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139401, 1058, 1757, 3517, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
139439, 857, 1697, 3414, 100, 0a779238-14e7-4e43-b812-52b3bc4c658b, , duduk, duduk_antara_dua_sujud, , 
