353039, 1764, 1366, 3578, 89, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355168, 1684, 1370, 3571, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355209, 1682, 1348, 3560, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355251, 1700, 1336, 3556, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355289, 1687, 1363, 3532, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355327, 1712, 1359, 3533, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355365, 1685, 1354, 3527, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355404, 1670, 1347, 3558, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355442, 1686, 1359, 3529, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355480, 1673, 1377, 3526, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355519, 1674, 1384, 3553, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355557, 1657, 1369, 3533, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355595, 1692, 1361, 3556, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355634, 1688, 1347, 3560, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355670, 1650, 1407, 3607, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355706, 1675, 1357, 3543, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355743, 1658, 1344, 3586, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355779, 1663, 1402, 3537, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355816, 1683, 1364, 3530, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
355852, 1607, 1345, 3449, 84, 998ddf9b-da4d-497f-8b9a-f7a8958f13c4, , duduk, duduk_antara_dua_sujud, , 
