201804, 2743, 2053, 2395, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202560, 2634, 2250, 2304, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202600, 2619, 2222, 2297, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202641, 2581, 2224, 2295, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202681, 2569, 2299, 2314, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202722, 2622, 2221, 2311, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202762, 2600, 2300, 2267, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202803, 2614, 2208, 2258, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202837, 2619, 2254, 2303, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202871, 2692, 2238, 2238, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202905, 2607, 2256, 2277, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202939, 2599, 2248, 2295, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
202973, 2650, 2288, 2280, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203008, 2621, 2279, 2278, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203042, 2639, 2279, 2268, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203076, 2603, 2258, 2262, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203110, 2667, 2217, 2293, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203144, 2671, 2274, 2260, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203179, 2617, 2252, 2277, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203219, 2615, 2265, 2267, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203260, 2634, 2245, 2256, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203300, 2636, 2236, 2280, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203341, 2636, 2280, 2285, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203381, 2629, 2276, 2267, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203422, 2633, 2280, 2237, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203462, 2609, 2280, 2270, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203503, 2622, 2274, 2263, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203543, 2608, 2258, 2264, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203584, 2652, 2266, 2254, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203621, 2635, 2276, 2256, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203658, 2632, 2287, 2248, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203695, 2621, 2244, 2254, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203732, 2661, 2255, 2235, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203769, 2645, 2255, 2232, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203806, 2589, 2313, 2237, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203843, 2637, 2268, 2229, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203880, 2654, 2270, 2248, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203917, 2638, 2307, 2241, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203954, 2644, 2322, 2260, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
203992, 2645, 2252, 2224, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
204035, 2667, 2279, 2249, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
204079, 2637, 2308, 2248, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
204123, 2489, 2327, 2286, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
204167, 2505, 2337, 2189, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
204211, 2466, 2378, 2281, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
204254, 2563, 2361, 2221, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
204298, 2597, 2227, 2192, 104, ca2d096d-a6fe-4dc8-86f8-89486ddb800f, , duduk, duduk_antara_dua_sujud, , 
