64761, 2938, 1679, 2453, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65629, 2868, 1917, 2297, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65674, 2875, 1875, 2329, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65719, 2883, 1891, 2307, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65764, 2887, 1911, 2290, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65809, 2879, 1897, 2335, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65854, 2832, 1921, 2300, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65899, 2874, 1949, 2317, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65944, 2864, 1931, 2278, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
65989, 2883, 1895, 2346, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66034, 2796, 1995, 2291, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66071, 2823, 1931, 2315, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66109, 2829, 1966, 2292, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66147, 2881, 1893, 2328, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66184, 2848, 1907, 2281, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66222, 2849, 1970, 2284, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66260, 2836, 1994, 2291, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66297, 2899, 1925, 2277, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66335, 2816, 1955, 2303, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66373, 2865, 1935, 2277, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66411, 2849, 1931, 2326, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66444, 2882, 1922, 2277, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66478, 2913, 1963, 2308, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66512, 2878, 1881, 2294, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66546, 2833, 2047, 2302, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66580, 2868, 1711, 2312, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66614, 2849, 1999, 2264, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66648, 2837, 1936, 2314, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66682, 2872, 1941, 2286, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66716, 2866, 1906, 2299, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66750, 2867, 1917, 2301, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66784, 2875, 1942, 2307, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66826, 2840, 1954, 2293, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66869, 2890, 1913, 2320, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66912, 2880, 1920, 2317, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66955, 2842, 1905, 2322, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
66998, 2831, 1942, 2301, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67040, 2855, 1920, 2321, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67083, 2891, 1903, 2283, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67126, 2866, 1930, 2341, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67169, 2856, 1913, 2312, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67212, 2884, 1922, 2305, 80, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67246, 2852, 1894, 2325, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67281, 2881, 1942, 2316, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67315, 2851, 1916, 2308, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67350, 2868, 1922, 2300, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67385, 2874, 1930, 2296, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67419, 2840, 1936, 2310, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67454, 2837, 1947, 2313, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67489, 2846, 1932, 2306, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67523, 2863, 1920, 2341, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67558, 2873, 1904, 2303, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67593, 2867, 1903, 2318, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67638, 2868, 1923, 2319, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67683, 2855, 1891, 2334, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67728, 2848, 1973, 2344, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67773, 2829, 1947, 2302, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67818, 2882, 1889, 2324, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67863, 2872, 1941, 2332, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67908, 2855, 1943, 2317, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67953, 2833, 1939, 2325, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
67998, 2851, 1913, 2319, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68044, 2861, 1911, 2340, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68080, 2832, 1961, 2319, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68117, 2833, 1903, 2319, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68153, 2879, 1942, 2308, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68190, 2845, 1942, 2307, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68227, 2845, 1954, 2324, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68263, 2849, 1935, 2301, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68300, 2849, 1941, 2321, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68336, 2842, 1916, 2298, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68373, 2819, 1936, 2289, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68410, 2867, 1923, 2319, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68445, 2834, 1948, 2312, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68480, 2857, 1942, 2328, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68515, 2856, 1918, 2305, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68550, 2850, 1927, 2303, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68585, 2861, 1964, 2316, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68620, 2825, 1914, 2316, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68655, 2872, 1938, 2302, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68690, 2872, 1952, 2318, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68725, 2812, 1953, 2324, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68760, 2847, 1918, 2268, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68796, 2888, 1923, 2322, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68839, 2836, 1931, 2302, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68883, 2849, 1952, 2312, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68926, 2850, 1991, 2305, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
68970, 2832, 1920, 2307, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
69013, 2835, 1961, 2303, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
69057, 2841, 1965, 2323, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
69100, 2818, 1946, 2300, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
69144, 2856, 1940, 2305, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
69187, 2863, 1929, 2311, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
69231, 2851, 1923, 2310, 81, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
69263, 2866, 1965, 2319, 83, 3a583d85-e10e-452b-8780-978b469b6ece, , duduk, duduk_antara_dua_sujud, , 
