86790, 115, 1830, 3781, 95, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88201, 1233, 2260, 3254, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88236, 1151, 2243, 3278, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88272, 1155, 2325, 3231, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88307, 1157, 2341, 3236, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88343, 1139, 2287, 3225, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88379, 1167, 2307, 3226, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88414, 1164, 2314, 3238, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88450, 1178, 2323, 3230, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88486, 1181, 2320, 3234, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88521, 1173, 2293, 3228, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88557, 1135, 2340, 3229, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88593, 1163, 2307, 3240, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88630, 1175, 2310, 3233, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88667, 1133, 2311, 3268, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88704, 1120, 2347, 3176, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88741, 1129, 2363, 3150, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88778, 1166, 2265, 3207, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88815, 1196, 2226, 3208, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88852, 1276, 2268, 3340, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88889, 1081, 2168, 3321, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88926, 870, 2247, 3208, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
88963, 1148, 2379, 3236, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
89003, 1039, 2283, 3248, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
89043, 1152, 2159, 3162, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
89084, 1436, 2278, 3605, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
89124, 1488, 2284, 3600, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
89165, 1280, 2273, 3289, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
89205, 1094, 2150, 3053, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
89245, 1104, 2109, 3120, 94, 8f96e6d6-71a4-46fe-b195-9ea27f82c87d, , duduk, duduk_antara_dua_sujud, , 
