104775, 2432, 1668, 2996, 89, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107188, 2436, 1755, 2870, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107227, 2426, 1731, 2884, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107267, 2422, 1727, 2894, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107307, 2435, 1773, 2861, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107346, 2432, 1738, 2871, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107386, 2432, 1765, 2874, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107426, 2419, 1720, 2868, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107465, 2428, 1744, 2900, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107505, 2432, 1760, 2870, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107545, 2441, 1737, 2878, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107585, 2412, 1764, 2893, 84, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107620, 2428, 1738, 2881, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107655, 2421, 1732, 2873, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107690, 2458, 1755, 2892, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107725, 2423, 1728, 2862, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107760, 2429, 1718, 2898, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107795, 2440, 1758, 2887, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107830, 2421, 1739, 2878, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107865, 2421, 1762, 2887, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107900, 2420, 1721, 2872, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107935, 2436, 1739, 2885, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
107971, 2435, 1766, 2882, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108010, 2443, 1744, 2871, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108049, 2440, 1748, 2894, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108088, 2410, 1782, 2889, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
108127, 2412, 1800, 2955, 81, 55e7e672-a072-4c79-83f1-126e9840dcef, , duduk, duduk_antara_dua_sujud, , 
