216214, 1374, 1852, 3427, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217844, 1186, 2057, 3367, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217875, 1227, 2051, 3387, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217905, 1255, 2035, 3400, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217936, 1196, 2028, 3398, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217966, 1204, 2031, 3380, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
217996, 1180, 2101, 3396, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218027, 1182, 2083, 3384, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218057, 1166, 2081, 3388, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218088, 1146, 2073, 3405, 74, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218124, 1177, 2112, 3371, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218161, 1195, 2067, 3370, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218198, 1183, 2106, 3390, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218234, 1171, 2110, 3357, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218271, 1156, 2122, 3374, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218308, 1154, 2108, 3369, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218345, 1151, 2129, 3372, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218381, 1163, 2120, 3368, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218418, 1160, 2108, 3376, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218455, 1149, 2102, 3373, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218492, 1131, 2112, 3380, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218535, 1153, 2106, 3359, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218579, 1135, 2130, 3368, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218623, 1150, 2130, 3371, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218667, 1142, 2114, 3368, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218711, 1117, 2127, 3377, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218754, 1141, 2139, 3363, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218798, 1140, 2082, 3374, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218842, 1155, 2149, 3362, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218886, 1142, 2125, 3367, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218930, 1154, 2122, 3372, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
218965, 1125, 2126, 3375, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219001, 1156, 2125, 3379, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219037, 1127, 2137, 3369, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219072, 1138, 2122, 3355, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219108, 1162, 2116, 3366, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219144, 1166, 2112, 3365, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219179, 1155, 2124, 3390, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219215, 1150, 2131, 3363, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219251, 1139, 2098, 3353, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219287, 1103, 2123, 3365, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219325, 1125, 2113, 3395, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219363, 1162, 2077, 3388, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219401, 1112, 2088, 3315, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219440, 1175, 2113, 3386, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219478, 1143, 2118, 3367, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219516, 1215, 2081, 3365, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219554, 1255, 2073, 3349, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219593, 1262, 2073, 3372, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219631, 1086, 1933, 3481, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219669, 1139, 2085, 3465, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
219708, 1096, 1989, 3460, 75, d03032d0-52ba-4162-8f28-6435b91c6d78, , duduk, duduk_antara_dua_sujud, , 
