422462, 2862, 1598, 2552, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423864, 2809, 1666, 2570, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423906, 2854, 1651, 2542, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423947, 2792, 1631, 2558, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
423988, 2821, 1723, 2565, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424030, 2838, 1635, 2524, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424065, 2851, 1727, 2545, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424100, 2842, 1674, 2534, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424135, 2851, 1673, 2533, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424171, 2824, 1664, 2538, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424206, 2818, 1685, 2560, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424241, 2829, 1684, 2553, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424276, 2794, 1655, 2538, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424312, 2805, 1692, 2553, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424347, 2813, 1685, 2535, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424382, 2821, 1656, 2530, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424418, 2829, 1693, 2564, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424459, 2820, 1675, 2530, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424500, 2822, 1654, 2563, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424541, 2846, 1685, 2526, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424583, 2838, 1640, 2499, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424624, 2824, 1666, 2539, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424665, 2830, 1713, 2550, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424707, 2796, 1685, 2520, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424748, 2846, 1748, 2552, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424789, 2836, 1671, 2516, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424831, 2825, 1661, 2531, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424871, 2833, 1661, 2521, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424911, 2819, 1680, 2569, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424951, 2828, 1669, 2512, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
424991, 2834, 1669, 2521, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425031, 2832, 1677, 2546, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425071, 2842, 1686, 2529, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425111, 2800, 1648, 2534, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425151, 2821, 1679, 2547, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425191, 2809, 1735, 2558, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425231, 2795, 1701, 2531, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425266, 2833, 1673, 2522, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425302, 2859, 1651, 2523, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425338, 2816, 1666, 2547, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425374, 2838, 1652, 2507, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425410, 2852, 1708, 2533, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425446, 2822, 1668, 2521, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425482, 2824, 1667, 2538, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425518, 2825, 1678, 2550, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425554, 2826, 1643, 2506, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425590, 2846, 1694, 2526, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425626, 2839, 1661, 2511, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425665, 2832, 1676, 2546, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425705, 2836, 1656, 2546, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425745, 2828, 1660, 2502, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425784, 2847, 1663, 2568, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425824, 2858, 1621, 2518, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425864, 2861, 1613, 2489, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425903, 2837, 1663, 2496, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425943, 2870, 1723, 2462, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
425983, 2885, 1662, 2438, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426023, 2856, 1643, 2480, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426058, 2893, 1640, 2490, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426094, 2902, 1654, 2482, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426130, 2906, 1628, 2449, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426165, 2915, 1653, 2461, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426201, 2900, 1633, 2447, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426237, 2928, 1664, 2481, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426273, 2915, 1593, 2452, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426308, 2945, 1653, 2454, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426344, 2947, 1627, 2427, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426380, 2939, 1657, 2425, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426416, 2913, 1678, 2411, 80, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426456, 2937, 1740, 2441, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426496, 2856, 1671, 2437, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426536, 2901, 1691, 2468, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426577, 2868, 1672, 2428, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426617, 2878, 1739, 2455, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426657, 2902, 1702, 2413, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426698, 2914, 1680, 2416, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426738, 2908, 1723, 2448, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426778, 2859, 1702, 2440, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
426819, 2892, 1696, 2415, 79, 5f5997ba-cd90-4453-b652-c7f82e611429, , duduk, duduk_antara_dua_sujud, , 
