101239, 2691, 1500, 2721, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102554, 2045, 2107, 2902, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102597, 2076, 2261, 2822, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102639, 2162, 2263, 2794, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102682, 2153, 2091, 2788, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102725, 2224, 2091, 2852, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102768, 2160, 2097, 2839, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102811, 2123, 2097, 2854, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102846, 2101, 2134, 2874, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102881, 2122, 2201, 2846, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102916, 2105, 2188, 2817, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102951, 2092, 2228, 2801, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
102986, 2093, 2248, 2775, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103022, 2085, 2207, 2816, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103057, 2112, 2243, 2813, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103092, 2066, 2274, 2798, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103127, 1985, 2270, 2817, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103162, 2100, 2274, 2792, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103198, 2082, 2263, 2841, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103236, 2339, 2068, 2858, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103275, 2377, 2113, 2679, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103313, 2327, 1988, 2600, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103352, 2340, 1968, 2708, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103391, 2392, 1964, 2810, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103429, 2336, 2022, 2719, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103468, 2352, 1995, 2774, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103506, 2385, 2013, 2853, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103545, 2432, 2015, 2741, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103584, 2471, 2023, 2628, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103621, 2430, 2088, 2700, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103659, 2299, 2111, 2758, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103697, 2172, 1851, 2909, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103735, 2094, 1768, 3069, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103773, 1984, 1805, 3216, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103810, 2224, 1826, 2895, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103848, 2328, 1887, 2823, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103886, 2430, 1973, 2865, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103924, 2259, 2132, 2769, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
103962, 2185, 2051, 2854, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104000, 2297, 1899, 2877, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104039, 2346, 1923, 2791, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104079, 2394, 2063, 2743, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104119, 2438, 1956, 2765, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104158, 2381, 1975, 2671, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104198, 2425, 1885, 2863, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104238, 2299, 1895, 2841, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104277, 2334, 1917, 2875, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104317, 2324, 1972, 2852, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104357, 2333, 2034, 2796, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104397, 2308, 2024, 2823, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104436, 2279, 1865, 2840, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104475, 2244, 1998, 2886, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104514, 2211, 2146, 2818, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104554, 2162, 2166, 2738, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104593, 2129, 2150, 2749, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104632, 2112, 2146, 2845, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
104672, 2094, 2143, 2791, 116, 6da14d62-1458-4f21-9e8d-4c6ec0cddde8, , duduk, duduk_antara_dua_sujud, , 
