277548, 1652, 2260, 3031, 86, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279153, 1240, 2776, 2804, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279195, 1271, 2793, 2786, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279237, 1286, 2771, 2762, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279279, 1299, 2779, 2784, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279321, 1306, 2730, 2786, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279363, 1295, 2761, 2775, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279405, 1261, 2812, 2784, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279447, 1273, 2779, 2768, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279489, 1267, 2767, 2792, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279531, 1301, 2808, 2781, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279574, 1252, 2766, 2762, 85, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279608, 1271, 2796, 2798, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279642, 1256, 2806, 2772, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279676, 1278, 2790, 2780, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279710, 1260, 2816, 2757, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279744, 1253, 2779, 2766, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279778, 1272, 2788, 2782, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279812, 1258, 2739, 2768, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279846, 1266, 2842, 2749, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279880, 1285, 2892, 2665, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279914, 1244, 2921, 2675, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279949, 1214, 2923, 2682, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
279991, 1191, 2903, 2715, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280033, 1162, 2931, 2677, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280076, 1166, 2949, 2676, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280118, 1155, 2941, 2662, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280161, 1165, 2955, 2647, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280203, 1183, 2956, 2663, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280245, 1159, 2942, 2643, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280288, 1167, 2964, 2648, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280330, 1144, 2970, 2677, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280373, 1169, 2942, 2661, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280407, 1131, 2973, 2640, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280441, 1159, 3042, 2710, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280475, 1136, 2904, 2587, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280509, 1050, 2922, 2692, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280543, 1100, 2964, 2700, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280578, 1076, 3008, 2685, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280612, 897, 2787, 2835, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280646, 902, 2873, 2840, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
280680, 921, 2906, 2797, 84, 76cb3753-e459-4c70-9ff6-1dc996215b32, , duduk, duduk_antara_dua_sujud, , 
