132796, 1871, 2081, 3187, 88, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133843, 1626, 2603, 2790, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133883, 1662, 2627, 2803, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133924, 1632, 2553, 2787, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
133964, 1674, 2623, 2773, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134005, 1681, 2549, 2811, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134045, 1651, 2497, 2815, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134085, 1730, 2480, 2819, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134126, 1745, 2499, 2821, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134166, 1676, 2418, 2783, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134207, 1696, 2435, 2896, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134246, 1619, 2556, 2803, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134285, 1781, 2547, 2830, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134324, 1830, 2439, 2926, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134363, 1847, 2368, 2844, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134402, 1908, 2424, 2789, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134441, 1983, 2441, 2861, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134480, 1857, 2456, 2771, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134519, 1846, 2403, 2795, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134558, 1870, 2395, 2813, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134597, 1833, 2489, 2775, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134633, 1902, 2322, 2893, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134670, 1778, 2398, 2859, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134707, 1866, 2520, 2799, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134744, 1740, 2363, 2845, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134781, 1836, 2373, 2879, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134818, 1951, 2351, 2832, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134855, 2052, 2250, 2830, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134892, 2091, 2227, 2882, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134929, 2137, 2205, 2784, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
134966, 2129, 2153, 2845, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135003, 2077, 2133, 2896, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135041, 2054, 2175, 2816, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135080, 2027, 2196, 2793, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135119, 2025, 2190, 2967, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135158, 2115, 2157, 2868, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135197, 2068, 2131, 2885, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135236, 2142, 2194, 2811, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135275, 2083, 2128, 2844, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135314, 2138, 2020, 2828, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
135353, 2156, 2060, 2874, 89, 576d58a0-3ef7-4813-b42c-6ce00c5198e2, , duduk, duduk_antara_dua_sujud, , 
