257566, 2746, 1770, 2539, 75, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259011, 2659, 1876, 2582, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259054, 2649, 1889, 2579, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259097, 2639, 1902, 2562, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259140, 2637, 1886, 2561, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259183, 2643, 1905, 2605, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259226, 2654, 1893, 2578, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259269, 2649, 1895, 2574, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259300, 2654, 1900, 2587, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259332, 2643, 1877, 2556, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259363, 2653, 1890, 2565, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259395, 2658, 1894, 2576, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259426, 2639, 1867, 2561, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259458, 2653, 1875, 2573, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259489, 2669, 1905, 2578, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259521, 2648, 1906, 2551, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259552, 2648, 1920, 2566, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259584, 2643, 1850, 2582, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259616, 2659, 1908, 2552, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259656, 2685, 1920, 2563, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259696, 2642, 1897, 2568, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259736, 2660, 1908, 2564, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259777, 2659, 1868, 2534, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259817, 2701, 1898, 2553, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259857, 2713, 1880, 2570, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259898, 2646, 1899, 2541, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259938, 2671, 1884, 2542, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
259978, 2691, 1898, 2552, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260019, 2688, 1883, 2546, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260056, 2677, 1894, 2519, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260094, 2688, 1918, 2539, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260132, 2697, 1876, 2533, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260169, 2689, 1919, 2541, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260207, 2696, 1924, 2544, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260245, 2702, 1884, 2544, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260283, 2698, 1864, 2523, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260320, 2695, 1915, 2544, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260358, 2679, 1885, 2508, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260396, 2705, 1894, 2525, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260434, 2696, 1926, 2534, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260474, 2690, 1897, 2539, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260514, 2677, 1908, 2524, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260554, 2679, 1949, 2488, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260594, 2652, 1978, 2522, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260634, 2682, 1924, 2545, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260674, 2689, 1887, 2528, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260714, 2692, 1886, 2516, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260754, 2683, 1913, 2511, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260794, 2677, 1914, 2529, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260834, 2685, 1933, 2515, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260874, 2672, 1949, 2510, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260915, 2686, 1937, 2510, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260955, 2697, 1917, 2536, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
260996, 2682, 1909, 2495, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261037, 2705, 1917, 2515, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261077, 2687, 1897, 2523, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261118, 2681, 1920, 2497, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261158, 2671, 1917, 2522, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261199, 2637, 1966, 2505, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261240, 2669, 1938, 2499, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261275, 2701, 1946, 2495, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261311, 2727, 1919, 2472, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261347, 2709, 1929, 2501, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261383, 2700, 1915, 2505, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261419, 2697, 1937, 2488, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261454, 2690, 1941, 2478, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261490, 2693, 1954, 2472, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261526, 2719, 1905, 2478, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261562, 2732, 1908, 2484, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261598, 2726, 1912, 2491, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261634, 2711, 1937, 2473, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261674, 2721, 1918, 2469, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261714, 2729, 1949, 2440, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261754, 2748, 1929, 2452, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261794, 2715, 1924, 2461, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261834, 2731, 1918, 2451, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261874, 2726, 1916, 2445, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261914, 2716, 1929, 2452, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261954, 2728, 1934, 2455, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
261994, 2733, 1940, 2465, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
262034, 2731, 1913, 2447, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
262070, 2694, 1941, 2463, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
262107, 2755, 1955, 2482, 76, 78a10a45-8f65-47fc-ad45-21bc7f428705, , duduk, duduk_antara_dua_sujud, , 
