71855, 1614, 2582, 2723, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72570, 601, 3389, 2399, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72607, 982, 2921, 2341, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72644, 1437, 3138, 2607, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72681, 1558, 3202, 2499, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72717, 1518, 3047, 2261, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72754, 1585, 3167, 2256, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72791, 1467, 3148, 2277, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72828, 1468, 3105, 2347, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72866, 1250, 3077, 2373, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72905, 1172, 3198, 2385, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72944, 1222, 3185, 2333, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
72983, 1228, 3145, 2387, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73022, 1207, 3137, 2421, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73060, 1200, 3166, 2408, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73099, 1203, 3152, 2405, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73138, 1206, 3179, 2391, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73177, 1188, 3184, 2358, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73216, 1168, 3179, 2355, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73256, 1180, 3153, 2366, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73297, 1175, 3173, 2341, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73338, 1175, 3205, 2335, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73379, 1200, 3180, 2339, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73420, 1175, 3200, 2357, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73460, 1146, 3197, 2359, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73501, 1182, 3194, 2351, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73542, 1170, 3191, 2353, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73583, 1163, 3193, 2352, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73624, 1152, 3208, 2344, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73662, 1158, 3208, 2336, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73700, 1146, 3211, 2343, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73738, 1123, 3185, 2362, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73776, 1115, 3215, 2353, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73814, 1105, 3196, 2335, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73852, 1139, 3229, 2337, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73890, 1119, 3192, 2347, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73928, 1130, 3192, 2362, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
73966, 1090, 3216, 2361, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74004, 1121, 3218, 2326, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74042, 1124, 3196, 2352, 49, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74080, 1137, 3217, 2323, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74119, 1117, 3218, 2339, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74158, 1128, 3218, 2336, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74197, 1097, 3202, 2328, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74236, 1154, 3258, 2341, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74275, 1121, 3174, 2345, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74314, 1127, 3217, 2340, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74353, 1112, 3230, 2349, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74392, 1110, 3205, 2326, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74431, 1132, 3198, 2340, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74471, 1122, 3210, 2330, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74512, 1102, 3222, 2312, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74553, 1118, 3236, 2350, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74594, 1100, 3212, 2347, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74635, 1136, 3220, 2333, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74676, 1127, 3219, 2345, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74717, 1119, 3199, 2332, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74758, 1105, 3240, 2338, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74799, 1088, 3229, 2336, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74840, 1105, 3225, 2353, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74875, 1098, 3207, 2351, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74910, 1109, 3218, 2345, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74945, 1084, 3232, 2342, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
74980, 1086, 3222, 2333, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75015, 1096, 3260, 2325, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75051, 1092, 3230, 2320, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75086, 1096, 3219, 2340, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75121, 1121, 3218, 2328, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75156, 1118, 3241, 2327, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75191, 1093, 3264, 2322, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75227, 1091, 3245, 2341, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75266, 1078, 3183, 2353, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75305, 961, 3226, 2353, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75344, 938, 3304, 2284, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
75383, 889, 3285, 2254, 50, ad5435ac-ff78-4ccf-8646-3f99f3e8de6f, , duduk, duduk_antara_dua_sujud, , 
