317858, 3425, 940, 2116, 95, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318930, 3355, 740, 2323, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
318965, 3354, 759, 2288, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319000, 3308, 794, 2296, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319035, 3356, 729, 2248, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319070, 3366, 792, 2394, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319106, 3323, 681, 2377, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319147, 3312, 700, 2301, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319188, 3382, 669, 2377, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319229, 3374, 719, 2364, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319270, 3361, 709, 2327, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319311, 3349, 732, 2356, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319352, 3295, 704, 2356, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319393, 3321, 730, 2355, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319434, 3370, 744, 2328, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319475, 3363, 696, 2348, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319517, 3371, 752, 2370, 96, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319553, 3354, 754, 2348, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319590, 3416, 757, 2380, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319627, 3380, 701, 2341, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319663, 3376, 725, 2317, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319700, 3367, 765, 2355, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319737, 3333, 750, 2316, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319774, 3319, 694, 2374, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319810, 3424, 806, 2301, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319847, 3326, 747, 2337, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319884, 3345, 746, 2320, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319921, 3306, 774, 2369, 97, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
319965, 3369, 752, 2321, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320010, 3350, 774, 2310, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320055, 3348, 804, 2352, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320100, 3351, 791, 2366, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320145, 3334, 766, 2294, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320189, 3337, 761, 2367, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320234, 3335, 782, 2322, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320279, 3327, 804, 2342, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320324, 3354, 812, 2319, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320369, 3346, 790, 2332, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320405, 3317, 823, 2341, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320441, 3344, 788, 2337, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320477, 3342, 784, 2349, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320514, 3366, 839, 2357, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320550, 3321, 763, 2323, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320586, 3340, 858, 2355, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320623, 3268, 782, 2348, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320659, 3323, 853, 2363, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320695, 3317, 805, 2346, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320732, 3320, 885, 2352, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320773, 3366, 800, 2331, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320814, 3356, 817, 2340, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320855, 3368, 825, 2341, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320896, 3341, 849, 2356, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320937, 3330, 842, 2307, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
320978, 3329, 858, 2292, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321019, 3324, 857, 2336, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321060, 3320, 837, 2329, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321101, 3336, 871, 2348, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321142, 3345, 809, 2321, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321184, 3332, 854, 2321, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321218, 3311, 888, 2312, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321252, 3334, 828, 2304, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321286, 3337, 794, 2336, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321320, 3276, 844, 2526, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321354, 3315, 738, 2350, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321388, 3316, 849, 2326, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321422, 3364, 850, 2318, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321456, 3325, 855, 2330, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321490, 3330, 900, 2308, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321525, 3345, 865, 2323, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321562, 3368, 889, 2340, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321599, 3351, 817, 2316, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321636, 3339, 838, 2307, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321673, 3317, 833, 2319, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321710, 3299, 885, 2315, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321748, 3310, 866, 2342, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321785, 3329, 866, 2304, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321822, 3313, 884, 2332, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321859, 3347, 843, 2340, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321896, 3334, 861, 2316, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321934, 3334, 842, 2323, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
321975, 3338, 887, 2337, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322016, 3323, 862, 2316, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322057, 3305, 864, 2300, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322098, 3319, 905, 2327, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322139, 3313, 865, 2319, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322180, 3310, 869, 2353, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322221, 3331, 892, 2323, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322262, 3329, 898, 2350, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322303, 3325, 887, 2333, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322344, 3302, 911, 2277, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322382, 3334, 888, 2348, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322420, 3295, 905, 2331, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322458, 3312, 919, 2349, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322496, 3330, 862, 2320, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322535, 3322, 884, 2327, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322573, 3229, 848, 2331, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322611, 3306, 886, 2347, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322649, 3305, 883, 2330, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322687, 3314, 889, 2365, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322726, 3325, 907, 2337, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322764, 3300, 901, 2353, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322802, 3310, 895, 2317, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322841, 3324, 892, 2360, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322879, 3295, 862, 2327, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322918, 3325, 889, 2341, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322956, 3334, 894, 2342, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
322995, 3303, 873, 2356, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323033, 3327, 923, 2317, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323072, 3311, 862, 2340, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323110, 3325, 885, 2357, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323149, 3310, 854, 2332, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323187, 3306, 911, 2320, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323226, 3334, 902, 2344, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323264, 3273, 833, 2359, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
323303, 3286, 934, 2364, 98, c1d5a50e-f2ce-4580-90ea-753352f9fb35, , duduk, duduk_antara_dua_sujud, , 
