65500, 2616, 1275, 3036, 59, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66957, 2492, 1412, 3036, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
66998, 2483, 1468, 3016, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67039, 2429, 1407, 3072, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67080, 2418, 1406, 3059, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67121, 2466, 1463, 3028, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67162, 2453, 1400, 3033, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67203, 2449, 1409, 3040, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67244, 2470, 1402, 3048, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67285, 2455, 1374, 3083, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67326, 2438, 1416, 3036, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67367, 2446, 1435, 3026, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67401, 2429, 1423, 3030, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67435, 2422, 1445, 3046, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67469, 2423, 1468, 3046, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67503, 2466, 1459, 3023, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67537, 2464, 1392, 3058, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67571, 2465, 1419, 3052, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67605, 2469, 1392, 3047, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67639, 2436, 1406, 3075, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67673, 2433, 1447, 3020, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67708, 2436, 1433, 3024, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67748, 2449, 1424, 3046, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67789, 2450, 1415, 3034, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67830, 2442, 1408, 3037, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67871, 2442, 1401, 3015, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67912, 2431, 1373, 3042, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67953, 2486, 1430, 3046, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
67994, 2441, 1415, 3041, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68035, 2437, 1461, 3050, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68076, 2469, 1448, 2996, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68117, 2465, 1480, 3008, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68153, 2477, 1365, 3046, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68190, 2465, 1351, 3085, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68226, 2491, 1334, 3056, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68263, 2454, 1388, 3020, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68299, 2451, 1398, 3051, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68336, 2475, 1356, 3043, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68372, 2438, 1363, 3046, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68409, 2460, 1446, 3048, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68445, 2446, 1444, 3063, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68482, 2459, 1367, 3095, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68519, 2470, 1347, 3090, 60, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68555, 2475, 1335, 3062, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68592, 2425, 1364, 3073, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68629, 2413, 1423, 3071, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68666, 2438, 1426, 3064, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68703, 2400, 1372, 3099, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68740, 2401, 1342, 3098, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68777, 2424, 1366, 3088, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68814, 2400, 1352, 3071, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68851, 2418, 1379, 3070, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68888, 2434, 1392, 3097, 62, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68928, 2431, 1358, 3072, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
68968, 2423, 1377, 3086, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69009, 2420, 1391, 3088, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69049, 2407, 1376, 3080, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69090, 2441, 1368, 3084, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69130, 2400, 1383, 3104, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69170, 2397, 1405, 3093, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69211, 2396, 1394, 3119, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69251, 2423, 1364, 3061, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69292, 2427, 1379, 3070, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69328, 2437, 1415, 3066, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69364, 2427, 1347, 3056, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69400, 2421, 1372, 3091, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69436, 2421, 1360, 3072, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69472, 2427, 1404, 3088, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69508, 2408, 1414, 3083, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69544, 2413, 1406, 3063, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69580, 2392, 1415, 3048, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69616, 2391, 1431, 3067, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69652, 2395, 1417, 3061, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69688, 2405, 1422, 3086, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69734, 2418, 1451, 3059, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69781, 2393, 1487, 3075, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69828, 2382, 1494, 3055, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69874, 2401, 1461, 3063, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69921, 2388, 1502, 3077, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
69968, 2400, 1484, 3068, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70014, 2390, 1433, 3078, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70061, 2421, 1466, 3048, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70108, 2403, 1489, 3061, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70155, 2388, 1482, 3067, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70189, 2365, 1512, 3058, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70223, 2383, 1472, 3050, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70258, 2364, 1489, 3062, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70292, 2380, 1457, 3064, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70326, 2380, 1490, 3070, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70361, 2385, 1538, 3054, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70395, 2391, 1488, 3089, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70429, 2397, 1552, 3025, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70464, 2367, 1492, 3071, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70498, 2355, 1523, 3070, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70533, 2400, 1458, 3087, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70569, 2411, 1503, 3076, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70606, 2382, 1532, 3032, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70643, 2350, 1531, 3059, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70680, 2359, 1504, 3059, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70717, 2390, 1477, 3039, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70754, 2395, 1456, 3056, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70791, 2381, 1523, 3076, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70828, 2391, 1522, 3070, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70865, 2379, 1513, 3049, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70902, 2369, 1500, 3072, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70942, 2347, 1488, 3093, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
70983, 2375, 1495, 3047, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
71023, 2400, 1482, 3058, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
71064, 2390, 1478, 3074, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
71105, 2397, 1494, 3060, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
71145, 2399, 1480, 3030, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
71186, 2356, 1432, 3095, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
71226, 2375, 1537, 3082, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
71267, 2352, 1506, 3070, 63, c26a700a-276f-4c2c-945f-3212a004ed06, , duduk, duduk_antara_dua_sujud, , 
