94323, 3247, 1058, 2476, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95041, 3143, 1207, 2447, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95083, 3145, 1232, 2478, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95125, 3142, 1263, 2476, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95167, 3104, 1217, 2424, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95209, 3080, 1189, 2474, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95251, 3086, 1184, 2457, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95293, 3093, 1226, 2494, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95335, 3062, 1251, 2492, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95378, 3087, 1218, 2457, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95420, 3080, 1286, 2497, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95462, 3071, 1183, 2438, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95504, 3020, 1317, 2499, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95546, 3124, 1260, 2443, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95589, 3218, 1186, 2446, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95624, 3159, 1059, 2433, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95659, 3119, 1091, 2444, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95694, 3084, 1329, 2482, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95729, 3073, 1342, 2417, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95765, 3158, 1230, 2432, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95800, 3160, 1130, 2464, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95835, 3111, 1180, 2463, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95870, 3152, 1264, 2485, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95905, 3136, 1302, 2451, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95941, 3153, 1166, 2453, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
95975, 3074, 1193, 2451, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96009, 3029, 1179, 2472, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96043, 3040, 1308, 2515, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96077, 3139, 1287, 2423, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96111, 3141, 1245, 2465, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96146, 3009, 1245, 2522, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96180, 3179, 1253, 2462, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96214, 3075, 1219, 2437, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96248, 3083, 1197, 2504, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96282, 3142, 1276, 2406, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96317, 3157, 1294, 2464, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96357, 3118, 1131, 2461, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96398, 3095, 1168, 2564, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96439, 3114, 1250, 2423, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96480, 3079, 1389, 2523, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96521, 3046, 1368, 2479, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96562, 3032, 1370, 2485, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96603, 2997, 1442, 2477, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96644, 2992, 1433, 2503, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96685, 3028, 1418, 2487, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96726, 3091, 1386, 2507, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96766, 3096, 1290, 2466, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96806, 3084, 1285, 2508, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96846, 2905, 1395, 2479, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96886, 2939, 1478, 2500, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96926, 3024, 1465, 2450, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
96966, 3104, 1380, 2502, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97006, 3099, 1343, 2395, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97046, 2930, 1233, 2520, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97086, 2857, 1498, 2542, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97126, 2966, 1634, 2490, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97161, 2975, 1371, 2518, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97197, 3052, 1375, 2486, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97232, 3051, 1328, 2535, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97268, 2952, 1419, 2535, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97304, 2946, 1487, 2554, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97339, 2924, 1433, 2506, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97375, 2975, 1415, 2539, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97411, 3023, 1449, 2520, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97446, 3020, 1367, 2542, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97482, 3004, 1420, 2551, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97518, 2951, 1362, 2531, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97560, 2958, 1470, 2537, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97602, 2974, 1467, 2492, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97644, 2925, 1398, 2582, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97686, 2967, 1440, 2530, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97728, 2956, 1422, 2555, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97770, 2996, 1449, 2508, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97812, 2964, 1445, 2546, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97854, 2943, 1451, 2541, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97896, 2971, 1453, 2549, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97939, 2964, 1485, 2549, 74, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
97977, 2938, 1419, 2549, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98016, 2956, 1480, 2539, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98055, 2956, 1465, 2508, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98093, 2935, 1419, 2578, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98132, 2933, 1466, 2535, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98171, 2962, 1445, 2520, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98209, 2987, 1458, 2528, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98248, 2937, 1458, 2548, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98287, 2957, 1501, 2531, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98326, 2933, 1450, 2535, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98363, 2934, 1463, 2555, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98400, 2939, 1467, 2525, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98437, 2967, 1448, 2522, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98474, 2968, 1445, 2527, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98511, 2989, 1441, 2547, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98548, 2970, 1486, 2549, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98585, 2933, 1450, 2515, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98622, 2978, 1453, 2550, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98659, 2918, 1420, 2559, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98696, 2948, 1467, 2538, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98734, 2945, 1452, 2519, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98772, 2950, 1478, 2549, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98810, 2934, 1460, 2523, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98848, 2943, 1472, 2555, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98886, 2949, 1470, 2528, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98925, 2941, 1457, 2549, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
98963, 2920, 1502, 2545, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99001, 2952, 1495, 2547, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99039, 2952, 1452, 2561, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99077, 2956, 1479, 2558, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99116, 2939, 1477, 2553, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99151, 2921, 1492, 2556, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99186, 2927, 1489, 2531, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99222, 2961, 1473, 2566, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99257, 2933, 1468, 2560, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99292, 2925, 1463, 2512, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99328, 2937, 1468, 2555, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99363, 2915, 1501, 2543, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99398, 2906, 1505, 2576, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99434, 2925, 1470, 2521, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99469, 2921, 1494, 2540, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99505, 2929, 1472, 2542, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99546, 2909, 1494, 2569, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99587, 2929, 1520, 2543, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99628, 2904, 1485, 2581, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99669, 2914, 1507, 2568, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99711, 2912, 1495, 2546, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99752, 2916, 1521, 2579, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99793, 2948, 1505, 2566, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99834, 2900, 1474, 2570, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99875, 2901, 1501, 2580, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99917, 2904, 1497, 2575, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99956, 2914, 1481, 2566, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
99996, 2918, 1508, 2553, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100036, 2922, 1529, 2552, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100076, 2925, 1447, 2574, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100116, 2940, 1517, 2589, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100156, 2902, 1505, 2570, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100196, 2899, 1483, 2574, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100236, 2921, 1487, 2545, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100276, 2924, 1508, 2589, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100316, 2895, 1455, 2539, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100353, 2909, 1493, 2584, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100390, 2900, 1494, 2546, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100427, 2922, 1521, 2577, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100464, 2890, 1492, 2548, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100501, 2889, 1502, 2585, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100538, 2892, 1501, 2559, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100575, 2880, 1477, 2587, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100612, 2885, 1500, 2559, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100649, 2908, 1462, 2576, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100686, 2900, 1535, 2560, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100724, 2907, 1525, 2561, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100769, 2904, 1507, 2563, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100814, 2865, 1506, 2568, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100859, 2900, 1488, 2569, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100904, 2915, 1525, 2571, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
100950, 2887, 1507, 2592, 75, f06b45c2-98d2-44f6-9833-5a2521c4e898, , duduk, duduk_antara_dua_sujud, , 
