156205, 1788, 1334, 3550, 95, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157148, 1641, 1219, 3607, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157189, 1628, 1251, 3628, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157230, 1651, 1202, 3637, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157271, 1628, 1233, 3632, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157305, 1617, 1259, 3613, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157340, 1622, 1237, 3621, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157375, 1620, 1255, 3620, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157409, 1619, 1214, 3615, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157444, 1599, 1228, 3642, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157479, 1619, 1266, 3611, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157513, 1618, 1209, 3623, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157548, 1616, 1234, 3619, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157583, 1623, 1280, 3618, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157618, 1605, 1258, 3630, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157656, 1601, 1243, 3620, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157695, 1618, 1275, 3621, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157734, 1580, 1245, 3633, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157772, 1606, 1246, 3624, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157811, 1617, 1292, 3595, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157850, 1580, 1242, 3651, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157889, 1595, 1234, 3642, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157927, 1600, 1276, 3623, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
157966, 1572, 1265, 3662, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158005, 1599, 1239, 3626, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158044, 1609, 1275, 3609, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158083, 1579, 1266, 3624, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158123, 1588, 1276, 3627, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158162, 1592, 1279, 3619, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158202, 1588, 1282, 3622, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158242, 1567, 1270, 3619, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158281, 1593, 1247, 3616, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158321, 1582, 1242, 3627, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158360, 1591, 1261, 3623, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158400, 1599, 1268, 3629, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158440, 1589, 1258, 3634, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158484, 1597, 1227, 3629, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158528, 1628, 1226, 3629, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158572, 1598, 1224, 3634, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158617, 1613, 1222, 3641, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158661, 1614, 1185, 3616, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158705, 1618, 1226, 3647, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158750, 1592, 1209, 3650, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158794, 1619, 1140, 3609, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158838, 1609, 1185, 3625, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158883, 1633, 1168, 3659, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158915, 1629, 1177, 3628, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158947, 1596, 1154, 3672, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
158979, 1638, 1224, 3641, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159011, 1603, 1175, 3671, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159043, 1622, 1180, 3672, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159075, 1599, 1200, 3659, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159107, 1514, 1077, 3707, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159139, 1543, 1207, 3619, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159171, 1544, 1198, 3657, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159203, 1571, 1131, 3679, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159235, 1577, 1171, 3630, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159273, 1676, 1166, 3675, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159312, 1692, 1143, 3748, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159351, 1582, 1180, 3630, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159389, 1717, 1264, 3642, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159428, 1535, 1188, 3596, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159467, 1548, 1098, 3672, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159505, 1559, 1206, 3660, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159544, 1568, 1195, 3605, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159583, 1636, 1158, 3852, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159622, 1525, 1247, 3551, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159660, 1498, 1189, 3674, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
159698, 1517, 1191, 3620, 94, 532b3002-69c0-44d8-897c-2df0b6127b19, , duduk, duduk_antara_dua_sujud, , 
