86634, 2293, 2159, 2667, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87235, 2036, 2230, 2895, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87275, 2046, 2043, 2777, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87315, 1973, 2219, 2910, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87355, 1900, 2325, 2904, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87395, 1827, 2277, 2741, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87435, 1932, 2362, 2911, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87475, 1932, 2314, 2873, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87515, 1960, 2320, 2844, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87556, 1934, 2228, 2753, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87592, 1930, 2320, 2901, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87628, 1910, 2318, 2897, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87664, 1940, 2325, 2864, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87700, 1950, 2271, 2859, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87736, 1956, 2305, 2820, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87772, 1883, 2367, 2804, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87808, 1817, 2422, 2797, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87844, 1740, 2535, 2823, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87880, 1722, 2548, 2827, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87916, 1640, 2532, 2773, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87952, 1572, 2580, 2818, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
87988, 1573, 2601, 2844, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88025, 1610, 2629, 2766, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88061, 1664, 2600, 2737, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88097, 1654, 2595, 2745, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88134, 1639, 2621, 2723, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88170, 1642, 2619, 2756, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88206, 1665, 2619, 2729, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88243, 1695, 2631, 2726, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
88279, 1670, 2625, 2732, 94, cffed26f-e60f-4f65-9147-a0c0bdb537d1, , duduk, duduk_antara_dua_sujud, , 
