115280, 2138, 2273, 2726, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116518, 1739, 2475, 2402, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116555, 1966, 2811, 2466, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116593, 1935, 2880, 2500, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116630, 1836, 2781, 2505, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116668, 1837, 2650, 2489, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116705, 1904, 2599, 2642, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116743, 1892, 2528, 2680, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116780, 2022, 2557, 2576, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116818, 2060, 2534, 2482, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116855, 2173, 2601, 2436, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116893, 2251, 2519, 2321, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116931, 2308, 2549, 2345, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
116970, 2372, 2589, 2302, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117010, 2343, 2501, 2258, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117049, 2255, 2531, 2507, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117089, 2023, 2595, 2613, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117128, 1874, 2626, 2566, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117168, 1855, 2741, 2538, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117207, 1844, 2681, 2575, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117247, 1819, 2677, 2483, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117286, 1912, 2763, 2515, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117326, 1892, 2688, 2519, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117365, 1899, 2655, 2526, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117405, 1919, 2698, 2553, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117445, 1931, 2633, 2525, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117483, 1875, 2683, 2483, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117521, 1920, 2643, 2531, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117560, 1927, 2657, 2512, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117598, 1892, 2685, 2488, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117636, 1910, 2685, 2523, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117675, 1902, 2676, 2502, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117713, 1924, 2664, 2510, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117752, 1907, 2690, 2535, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117790, 1879, 2656, 2538, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117828, 1925, 2678, 2485, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117867, 1935, 2693, 2503, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117905, 1935, 2728, 2522, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117944, 1906, 2614, 2486, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
117981, 1952, 2707, 2541, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118019, 1881, 2719, 2490, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118056, 1887, 2678, 2480, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118094, 1889, 2753, 2498, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118131, 1911, 2731, 2521, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118169, 1885, 2698, 2478, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118206, 1907, 2689, 2483, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118244, 1924, 2703, 2480, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118281, 1926, 2696, 2501, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118319, 1902, 2669, 2494, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118356, 1898, 2702, 2520, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118394, 1916, 2751, 2497, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118432, 1909, 2675, 2478, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118470, 1876, 2723, 2480, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118509, 1862, 2751, 2505, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118548, 1860, 2696, 2477, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118587, 1867, 2740, 2465, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118626, 1864, 2770, 2450, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118665, 1878, 2764, 2453, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118703, 1843, 2739, 2487, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118742, 1849, 2761, 2463, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118781, 1842, 2775, 2470, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118820, 1804, 2770, 2472, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118859, 1797, 2807, 2467, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118898, 1821, 2792, 2460, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118937, 1836, 2777, 2452, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
118974, 1766, 2771, 2449, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
119011, 1698, 2835, 2469, 98, 3ced86b6-2c53-457e-b910-15527bf66345, , duduk, duduk_antara_dua_sujud, , 
