352402, 2915, 1422, 2579, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354171, 2840, 1578, 2598, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354206, 2842, 1533, 2573, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354241, 2865, 1515, 2597, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354276, 2874, 1546, 2602, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354311, 2867, 1532, 2595, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354346, 2859, 1528, 2581, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354381, 2851, 1539, 2587, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354417, 2837, 1552, 2591, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354459, 2846, 1581, 2585, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354501, 2828, 1555, 2556, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354543, 2855, 1577, 2604, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354586, 2843, 1573, 2590, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354628, 2835, 1593, 2580, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354670, 2859, 1562, 2571, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354713, 2842, 1567, 2573, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354755, 2848, 1585, 2572, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354797, 2816, 1549, 2586, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354840, 2841, 1575, 2607, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354880, 2845, 1584, 2596, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354920, 2893, 1572, 2551, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
354961, 2869, 1532, 2592, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355001, 2872, 1587, 2548, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355041, 2873, 1565, 2564, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355082, 2861, 1561, 2573, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355122, 2839, 1573, 2565, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355162, 2860, 1555, 2574, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355203, 2875, 1553, 2580, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355243, 2882, 1576, 2547, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355284, 2905, 1543, 2544, 84, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355319, 2905, 1531, 2555, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355354, 2875, 1569, 2545, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355389, 2890, 1543, 2529, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355424, 2900, 1556, 2555, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355459, 2868, 1581, 2554, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355494, 2893, 1555, 2554, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355529, 2860, 1528, 2546, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355564, 2884, 1567, 2581, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355599, 2878, 1547, 2551, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355635, 2865, 1543, 2542, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355675, 2894, 1562, 2539, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355716, 2909, 1541, 2543, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355757, 2911, 1533, 2542, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355798, 2892, 1560, 2555, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355839, 2899, 1534, 2567, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355879, 2881, 1507, 2531, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355920, 2912, 1558, 2553, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
355961, 2906, 1550, 2569, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356002, 2886, 1500, 2548, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356043, 2895, 1556, 2562, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356078, 2898, 1558, 2518, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356114, 2893, 1551, 2554, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356149, 2884, 1513, 2572, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356185, 2859, 1524, 2530, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356220, 2860, 1584, 2568, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356256, 2865, 1533, 2546, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356291, 2920, 1525, 2537, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356327, 2841, 1512, 2511, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356362, 2889, 1541, 2570, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356398, 2913, 1510, 2554, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356434, 2879, 1525, 2557, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356474, 2890, 1541, 2544, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356514, 2938, 1508, 2552, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356554, 2913, 1502, 2562, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356594, 2899, 1570, 2523, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356634, 2901, 1573, 2540, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356674, 2905, 1562, 2524, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356714, 2931, 1556, 2534, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356754, 2921, 1521, 2540, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356794, 2932, 1530, 2530, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356834, 2920, 1514, 2521, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356870, 2959, 1499, 2533, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356906, 2953, 1526, 2503, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356943, 2950, 1561, 2553, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
356979, 2933, 1484, 2488, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
357016, 2917, 1512, 2522, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
357052, 2899, 1631, 2531, 83, 2247dff0-b0f6-4f2e-9e44-aee4aed70c48, , duduk, duduk_antara_dua_sujud, , 
