302554, 1600, 3083, 2388, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304223, 1794, 2983, 2357, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304257, 1774, 2883, 2322, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304292, 1770, 2850, 2334, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304327, 1786, 2896, 2360, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304361, 1825, 2868, 2339, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304396, 1813, 2852, 2353, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304431, 1811, 2897, 2375, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304469, 1811, 2823, 2399, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304507, 1821, 2946, 2407, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304545, 1784, 2809, 2369, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304583, 1830, 2840, 2397, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304621, 1796, 2859, 2370, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304659, 1853, 2838, 2392, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304697, 1840, 2787, 2364, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304735, 1806, 2795, 2405, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
304773, 1806, 2818, 2409, 96, 5c3a5e97-0c0e-47e4-b7aa-9cecea924b13, , duduk, duduk_antara_dua_sujud, , 
