537627, 968, 2195, 3435, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538412, 954, 2217, 3361, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538451, 987, 2224, 3350, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538490, 982, 2223, 3350, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538530, 961, 2265, 3339, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538570, 965, 2267, 3368, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538610, 998, 2226, 3357, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538650, 987, 2243, 3353, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538691, 970, 2241, 3353, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538731, 947, 2242, 3334, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538771, 979, 2244, 3354, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538811, 983, 2232, 3337, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538851, 1005, 2233, 3320, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538892, 980, 2241, 3345, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538927, 987, 2230, 3351, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538963, 959, 2224, 3361, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
538999, 946, 2274, 3365, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539035, 950, 2240, 3349, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539071, 957, 2258, 3346, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539106, 950, 2264, 3363, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539142, 954, 2249, 3340, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539178, 945, 2263, 3347, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539214, 944, 2258, 3353, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539250, 983, 2238, 3339, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539286, 947, 2250, 3347, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539332, 935, 2246, 3335, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539379, 914, 2289, 3331, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539426, 938, 2268, 3352, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539472, 922, 2259, 3348, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539519, 944, 2244, 3340, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539566, 902, 2288, 3341, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539612, 923, 2280, 3324, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539659, 906, 2273, 3350, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539706, 902, 2278, 3342, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539753, 899, 2267, 3336, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539790, 915, 2277, 3342, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539827, 911, 2271, 3346, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539864, 908, 2289, 3333, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539901, 905, 2274, 3346, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539938, 908, 2274, 3350, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
539975, 909, 2268, 3336, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540012, 891, 2262, 3349, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540049, 894, 2263, 3348, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540086, 919, 2247, 3339, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540124, 930, 2273, 3358, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540156, 896, 2266, 3347, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540189, 898, 2277, 3351, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540222, 912, 2276, 3348, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540255, 917, 2242, 3329, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540288, 897, 2261, 3354, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540320, 897, 2274, 3352, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540353, 910, 2263, 3361, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540386, 915, 2242, 3340, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540419, 935, 2270, 3344, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540452, 895, 2231, 3359, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540485, 884, 2281, 3325, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540525, 931, 2285, 3329, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540565, 895, 2254, 3342, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540605, 889, 2261, 3353, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540645, 906, 2280, 3343, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540686, 892, 2262, 3371, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540726, 873, 2273, 3364, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540766, 913, 2264, 3366, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540806, 885, 2267, 3358, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540846, 877, 2287, 3333, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540887, 898, 2282, 3340, 81, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540923, 888, 2273, 3325, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540960, 880, 2266, 3340, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
540997, 910, 2286, 3339, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541034, 894, 2253, 3343, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541071, 854, 2257, 3321, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541107, 887, 2286, 3336, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541144, 907, 2267, 3319, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541181, 887, 2278, 3357, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541218, 857, 2272, 3341, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541255, 904, 2292, 3339, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541292, 870, 2273, 3335, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541334, 886, 2296, 3331, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541377, 857, 2309, 3341, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541420, 870, 2285, 3324, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541462, 891, 2283, 3325, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541505, 904, 2285, 3331, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541548, 926, 2274, 3324, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541590, 901, 2259, 3332, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541633, 852, 2300, 3305, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541676, 864, 2280, 3318, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541719, 849, 2288, 3339, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541755, 888, 2291, 3330, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541792, 900, 2295, 3322, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541829, 953, 2272, 3351, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541866, 957, 2276, 3352, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541903, 954, 2226, 3340, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541940, 913, 2265, 3335, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
541977, 904, 2306, 3356, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
542014, 930, 2342, 3377, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
542051, 898, 2354, 3327, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
542088, 929, 2242, 3336, 80, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
542124, 904, 2334, 3371, 79, f6015913-2979-4d78-8512-873f8739665d, , duduk, duduk_antara_dua_sujud, , 
