178914, 1262, 2538, 2998, 82, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182099, 2452, 1806, 2840, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182135, 2425, 1784, 2851, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182172, 2434, 1803, 2838, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182209, 2470, 1765, 2828, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182245, 2449, 1797, 2861, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182282, 2452, 1750, 2822, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182318, 2461, 1787, 2841, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182355, 2447, 1743, 2862, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182392, 2450, 1786, 2844, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182432, 2439, 1793, 2845, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182472, 2435, 1783, 2839, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182512, 2455, 1793, 2845, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182553, 2473, 1755, 2812, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182593, 2477, 1758, 2847, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182633, 2430, 1727, 2861, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182673, 2447, 1773, 2829, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182714, 2432, 1791, 2854, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182754, 2462, 1777, 2861, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182794, 2470, 1760, 2858, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182835, 2483, 1765, 2835, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182870, 2499, 1679, 2851, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182905, 2471, 1722, 2843, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182940, 2480, 1724, 2850, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
182976, 2477, 1753, 2835, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
183011, 2454, 1696, 2827, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
183046, 2474, 1739, 2843, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
183082, 2471, 1727, 2853, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
183117, 2458, 1724, 2849, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
183152, 2465, 1730, 2834, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
183188, 2472, 1738, 2874, 85, 93a5fa77-fc5f-4801-8aed-d16ab9dd4d1c, , duduk, duduk_antara_dua_sujud, , 
