164715, 2130, 2117, 3479, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165520, 1816, 2054, 3276, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165555, 1802, 2109, 3133, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165591, 1730, 2089, 3030, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165627, 1814, 2231, 3164, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165663, 1811, 2270, 3035, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165699, 1859, 2206, 3069, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165735, 1888, 2169, 3054, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165771, 1932, 2121, 3046, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165807, 1892, 2142, 3040, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165843, 1885, 2165, 3070, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165879, 1871, 2083, 3133, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165915, 1849, 2038, 3082, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165956, 1802, 2226, 3112, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
165998, 1758, 2087, 3090, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166040, 1811, 2103, 3149, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166082, 1739, 2074, 3119, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166124, 1872, 2083, 3041, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166165, 1957, 2110, 2957, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166207, 2069, 1957, 3056, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166249, 2106, 2012, 3014, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166291, 2077, 1968, 2928, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166333, 2089, 2011, 3048, 100, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166370, 2053, 1917, 2991, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166407, 2071, 1965, 3077, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166444, 2051, 1935, 3038, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166481, 2029, 1962, 3029, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166519, 2039, 2062, 3000, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166556, 2006, 1908, 3038, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166593, 2016, 2018, 3124, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166630, 1920, 1973, 3114, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166667, 1898, 1943, 3072, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166705, 1924, 1985, 3103, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166746, 1918, 1992, 3086, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166787, 1993, 1941, 3115, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166828, 1958, 1967, 3105, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166869, 1984, 1926, 3086, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166910, 1952, 1848, 3070, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166951, 2003, 1926, 3069, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
166992, 2011, 1954, 3036, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
167033, 2008, 1878, 3056, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
167074, 2004, 1900, 3088, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
167115, 2008, 1944, 3080, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
167156, 2010, 1909, 3077, 99, d6dae4fe-5fbd-4bbe-affa-56cf2a7e3554, , duduk, duduk_antara_dua_sujud, , 
