148917, 1449, 2589, 2902, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150459, 982, 2817, 2931, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150493, 950, 2867, 2826, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150527, 958, 2788, 2877, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150561, 990, 2840, 2872, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150596, 1046, 2850, 2826, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150630, 1056, 2768, 2863, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150664, 1043, 2764, 2892, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150698, 999, 2723, 2889, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150732, 832, 2806, 2922, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150767, 850, 2826, 2840, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150807, 924, 2803, 2923, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150848, 973, 2776, 2952, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150889, 963, 2787, 2956, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150929, 992, 2738, 3021, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
150970, 996, 2775, 2983, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151011, 1062, 2780, 2950, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151051, 1154, 2703, 2913, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151092, 1214, 2659, 2888, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151133, 1329, 2723, 2849, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151174, 1410, 2735, 2835, 81, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151212, 1182, 2575, 2972, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151251, 1080, 2664, 3003, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151289, 998, 2703, 2941, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151328, 986, 2716, 2966, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151366, 1026, 2749, 2909, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151405, 995, 2783, 2901, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151443, 964, 2740, 2909, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151482, 975, 2777, 2893, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151520, 949, 2761, 2879, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151559, 847, 2780, 2920, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151598, 835, 2809, 2925, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151633, 892, 2875, 2862, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151669, 976, 2858, 2865, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151704, 1066, 2835, 2866, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151740, 1086, 2820, 2862, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151775, 1040, 2774, 2828, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151811, 934, 2821, 2878, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151846, 845, 2903, 2853, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151882, 853, 2867, 2841, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151917, 810, 2905, 2861, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151953, 817, 2874, 2850, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
151992, 911, 2913, 2825, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
152032, 959, 2875, 2808, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
152072, 960, 2895, 2847, 80, 6ef12f04-cf75-4331-8279-f7998c401262, , duduk, duduk_antara_dua_sujud, , 
